Address,Bedroom,Bathroom,Floors,Face,Road,City,Land,Price
Balkot,5,5,2.5,North,26,Bhaktapur,3080.25,52500000
Balkot,0,0,,East,13,Bhaktapur,1369,21500000
Balkot,0,0,,West,13,Bhaktapur,1369,21500000
Balkot,3,4,3,North,10,Bhaktapur,1026.75,19000000
Balkot,5,9,2,East,14,Bhaktapur,2395.75,70000000
Balkot,4,3,3,South,28,Bhaktapur,1754.03125,39500000
Balkot,3,3,2,North,20,Bhaktapur,1796.8125,29000000
Balkot,0,0,3,East,12,Bhaktapur,4107,85000
Balkot,2,1,,West,15,Bhaktapur,900,12000
Bhaktapur,4,3,3,South East,20,Bhaktapur,1026.75,20000000
Bhaktapur,0,0,,East,10,Bhaktapur,1369,11000000
Bhaktapur,0,0,,West,20,Bhaktapur,1197.875,7500000
Bhaktapur,0,0,,North West,0,Bhaktapur,1540.125,19000000
Bhaktapur,3,1,1,East,8,Bhaktapur,1369,8000000
Bhaktapur,0,0,,West,13,Bhaktapur,1796.8125,14000000
Bhaktapur,9,1,3,West,20,Bhaktapur,2053.5,21500000
Bhaktapur,4,4,2,South,20,Bhaktapur,2395.75,32500000
Bhaktapur,0,0,,East,0,Bhaktapur,27380,600000
Bhaktapur,5,4,,South,15,Bhaktapur,2200,80000
Bhaktapur,0,0,,West,13,Bhaktapur,1796.8125,14000000
Bhaktapur,9,1,3,West,20,Bhaktapur,2053.5,21500000
Bode,5,7,3,East,20,Bhaktapur,7529.5,140000000
Changunarayan,10,3,3,East,10,Bhaktapur,1283.4375,21000000
Changunarayan,5,3,3,South East,13,Bhaktapur,1048.140625,18000000
Changunarayan,0,0,,East,20,Bhaktapur,1369,2600000
Changunarayan,0,0,,South,10,Bhaktapur,1369,10500000
Changunarayan,0,0,3.5,West,15,Bhaktapur,2395.75,21500000
Changunarayan,0,0,,South,10,Bhaktapur,1369,10500000
Changunarayan,0,0,3.5,West,15,Bhaktapur,2395.75,21500000
Dadikot,2,2,2,West,4,Bhaktapur,1796.8125,15000000
Dadikot,0,0,,North,12,Bhaktapur,1090.921875,11500000
Dadikot,12,4,4,South East,20,Bhaktapur,1369,22500000
Dadikot,12,4,,South,20,Bhaktapur,1369,22500000
Dadikot,0,0,,North,12,Bhaktapur,1090.921875,11500000
