Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
18500000,"Yogikuti, Rupandehi (Butwal)",2,4,4,1731.375,13,
30000000,"Yaw-cho, Panga, Langocha, Kirtipur Municipality, Kathmandu",3,3,4,1711.25,13,
56500000,"vishal nagar, Bishal Nagar, Kathmandu",25,4,4,2053.5,13,Near by naxal Bhabhatni
250000000,"vishal nagar, Bishal Nagar, Kathmandu",2,4,3,7187.25,13,
230000000,"vishal nagar, Bishal Nagar, Kathmandu",,,,,,
26000000,"Vijaya Motor Parts Private Limited, काठमाडाैँ चक्रपथ, Banasthali, Kathmandu",2,2,2,684.5,8,K
41500000,"vhimsengola purano baneshwar, Bhimsengola (Old Baneshwor), Kathmandu",45,2,6,1026.75,13,
170000000,"vegetables, Golphutar Main Sadak, Dharampur, Budhanilkantha, Kathmandu",275,6,6,5818.25,20,hattigaunda chowk
92000000,"vasundhara, Basundhara, Kathmandu",35,6,7,4107,20,
21500000,"vasundhara, Basundhara, Kathmandu",25,3,6,1197.875,13,
20000000,"vasundhara, Basundhara, Kathmandu",25,2,5,1369,13,
31000000,"vasundhara, Basundhara, Kathmandu",25,4,6,1369,13,
37500000,"vasundhara, Basundhara, Kathmandu",25,3,5,1437.45,13,
42000000,"vasundhara, Basundhara, Kathmandu",25,5,6,1540.125,13,
35000000,"vasundhara, Basundhara, Kathmandu",25,3,53,1711.25,13,Basundhara
42000000,"vasundhara, Basundhara, Kathmandu",4,5,5,1745.475,13,Isan Hospital
49500000,"vasundhara, Basundhara, Kathmandu",2,7,4,2395.75,13,
65000000,"vasundhara, Basundhara, Kathmandu",25,5,7,3080.25,13,
150000000,"vasundhara, Basundhara, Kathmandu",0,0,0,6502.75,13,
150000000,"vasundhara, Basundhara, Kathmandu",25,3,5,6502.75,13,
28000000,"vasundhara, Basundhara, Kathmandu",25,4,12,1026.75,12,
43000000,"vasundhara, Basundhara, Kathmandu",25,3,6,1779.7,12,
12000000,"vasundhara, Basundhara, Kathmandu",0,0,0,684.5,5,0
23500000,"vanasthali, Banasthali, Kathmandu",4,3,3,855.625,13,Near By Aditya Boarding Academy
20000000,"vanasthali, Banasthali, Kathmandu",2,2,5,1026.75,13,150m from bhoratar micro station
31500000,"vanasthali, Banasthali, Kathmandu",25,4 bathrooms,5,1060.975,13,
25000000,"vanasthali, Banasthali, Kathmandu",3,5-Apr,4-Mar,1026.75,12,
