price,Location,Floor,Bathroom,Bedroom,Land,Road Size,Land Mark,url,182.25
250000000,"Dhapasi (Tokha), Kathmandu",25,5,5,3-0-0-0,13,,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-madhyapur-thimi-bkt-in-bhaktapur/35417e112c9b42c7bba0cef5f10ecf28,
77250000,"Bungamati (Karyabinayak), Lalitpur",25,2,4,1-0-0-0,13,,https://hamrobazaar.com/for-sale-house/house-on-sale-bhaktapur-bode-planing-in-bhaktapur/d8c7646664c54c84aed5f9370f32b358,
8000000,"kopondole kopundole kupondole, Kupandol, Lalitpur",25,4,5,1-0-0-0,13,,https://hamrobazaar.com/for-sale-house/new-house-for-sale-near-medicity-hospital-in-lalitpur/1d6e790c635a4ab29eb6f6fc9e3068e8,
250000000,"budanilkantha, Budhanilkantha, Kathmandu",2,7,6,1-0-0-0,13,,https://hamrobazaar.com/for-sale-house/house-sale-at-gumti-kumari-marg-baneshwor-in-kathmandu/66f8748590da4b04be888bdc71054906,
220000000,"Koteshwor, Kathmandu",25,8,12,1-0-0-0,13,koteshwor,https://hamrobazaar.com/for-sale-house/house-on-sale-at-dhapakhel-in-lalitpur/af0c858890194cfc8bfe772f93f613d1,
38000000,"Castrol Auto City Pvt. Ltd., Rudra Mati Marga-2, Panna Hiti, Bishalnagar, Kathmandu, Bagmati Pradesh, 00975, Nepal",35,6,7,0-6-2-2-0,20,Above Matatirtha temple 200m,https://hamrobazaar.com/for-sale-house/house-on-sale-at-kalanki-in-kathmandu/b59a80124dbf4ea0a2eeec204a012cc0,
38500000,"Naya Nagar, Kusanti, Lalitpur",25,4,7,0-6-1-0,13,,https://hamrobazaar.com/for-sale-house/42ana-land-with-new-house-at-budhanilkantha-in-kathmandu/087735d15f7c4eac8cf805f23dcad0ec,
58000000,"new baneshwor naya baneshwar, Shantinagar (New Baneshwor), Kathmandu",4,5,10,0-5-2-3,12,,https://hamrobazaar.com/for-sale-house/house-on-sell-birtamod-in-nepal/8c4ec0eaaba54ee39d681551c101b118,
13000000,"Prithvi Highway, Dulegauda Bazar",,3,3,0-4-2-2,20,Marfa Thakali Samaj Ghar,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/c4ee72c14d2f4ec0babd223304b93a34,
27000000,"Imadol (Mahalaxmi), Lalitpur",4,3,6,0-4-1-2,13,,https://hamrobazaar.com/for-sale-house/house-for-sale-lagankhel-mangalbazar-in-nepal/8653cf67efe64b4ea0e162bf0734617c,
4.00E+15,"budanilkantha, Budhanilkantha, Kathmandu",25,3,3,0-4-1-0,13,Deuba Chowk,https://hamrobazaar.com/for-sale-house/flat-sys-house-for-sale-at-budhanilkantha-kailas-in-nepal/d903bb98beef4611b9f36ae579b834bd,
31500000,"Ramkot Syuchatar Nagarjun Raniban, Sitapaila Area, Kathmandu",2,2,6,0-3-3-3.51,12,,https://hamrobazaar.com/for-sale-house/brihat-cluster-bhaisepati-4-a3-in-lalitpur/159ba96096c94b10b4b085d3e22096ff,
35000000,"Imadol (Mahalaxmi), Lalitpur",25,3,6,0-3-3-3,13,,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-ratopul-in-nepal/188ad62053d3416db0c9ac48fccfb3f2,
28000000,"Balkot (Ananta), Bhaktapur",3,5,5,0-3-3-3,13,"Before Nabil Bank, Sirutar",https://hamrobazaar.com/for-sale-house/house-for-sale-at-itahari-pachruki-in-sunsari/a9f4ca1ca44f41d48cc58d1c17e9213d,
38500000,"Dhungedhara (Banasthali) , dungedhara",35,7,9,0-3-3-2,13,,https://hamrobazaar.com/for-sale-house/house-on-sale-kharibot-chowk-gaurighat-in-kathmandu/da7b24313f4741ce9f153527de05b45b,
37500000,"Tokha Chandeshwari (Tokha), Kathmandu",25,3,5,0-3-3-0,13,,https://hamrobazaar.com/for-sale-house/lokanthali-bigmart-najik-71anna-ghar-bikrima-in-bhaktapur/f3f3a02dcd2e4985b98b03b38491213b,
34000000,"bangal, Bhangal (Budhanilkantha), Kathmandu",3,4,4,0-3-3-0,13,,https://hamrobazaar.com/for-sale-house/brihat-community-living-ramkot-29-as-in-kathmandu/1253904622cc43d7a2bb3bb9c609a1e5,
26000000,"Budhanilkantha , budanilkantha",25,4,3,0-3-3-0,20,,https://hamrobazaar.com/for-sale-house/for-sale-flat-system-house-in-jorpati-in-kathmandu/8daa563e49e1412e80f49d378673b59f,
