Price,Land,Road,Face,Floors,Bedroom,Bathroom,Address,City,342.25
70000000,102.675,22,East,5,,,Lagankhel, Lalitpur,
16800000,376.475,20,East,3.5,3,3,New Baneshwor, Kathmandu,
16800000,376.475,20,East,4,3,3,New Baneshwor, Kathmandu,
18000000,376.475,5,East,4.5,7,,Nardevi, Kathmandu,
6500000,410.7,20,East,,2,1,Kirtipur, Kathmandu,
25000000,444.925,30,East,2.5,4,,Kalikasthan, Kathmandu,
16000000,752.95,12,East,2.5,5,3,Thali, Kathmandu,
18800000,752.95,12,East,2.5,,,Kapan, Kathmandu,
13500000,752.95,10,East,1,,,Tahachal, Kathmandu,
15000000,752.95,13,East,2.5,,,Goldhunga, Kathmandu,
25000000,752.95,13,East,2.5,3,,Bafal, Kathmandu,
22500000,752.95,13,East,4,20,10,Gongabu, Kathmandu,
24000000,752.95,20,East,3,4,4,Pepsicola, Kathmandu,
17000000,752.95,13,East,2.5,3,3,Imadol, Lalitpur,
21500000,787.175,13,East,3,3,3,Imadol, Lalitpur,
21500000,787.175,13,East,2.5,9,3,Tikathali, Lalitpur,
22500000,787.175,13,East,2.5,4,4,Setipakha, Lalitpur,
29000000,787.175,20,East,2.5,,2,Pepsicola, Kathmandu,
18500000,787.175,15,East,2.5,,,Gwarko, Lalitpur,
24000000,787.175,10,East,3,,3,Dhobichaur, Kathmandu,
19500000,787.175,13,East,2.5,4,3,Imadol, Lalitpur,
6500000,787.175,12,East,1,3,1,Thulobharyang, Kathmandu,
20000000,855.625,13,East,2.5,4,3,Nakhipot, Lalitpur,
23500000,855.625,13,East,4,3,3,Banasthali, Kathmandu,
27000000,855.625,28,East,4,,,Narephat, Kathmandu,
22500000,1026.75,16,East,1,6,3,Imadol, Lalitpur,
22500000,1026.75,13,East,2.5,4,3,Bhelpa, Lalitpur,
31000000,1026.75,13,East,2.5,6,4,Ekatabasti, Kathmandu,
12000000,1026.75,10,East,1,2,1,Goldhunga, Kathmandu,
24500000,1026.75,15,East,2.5,5,3,Mulpani, Kathmandu,
16000000,1026.75,12,East,2.5,,,Chunikhel, Kathmandu,
19600000,1026.75,9,East,4,11,5,Nepaltar, Kathmandu,
16200000,1026.75,9,East,4,9,6,Nepaltar, Kathmandu,
26000000,1026.75,13,East,2.5,3,3,Imadol, Lalitpur,
36000000,1026.75,20,East,2.5,6,5,Raniban, Kathmandu,
21900000,1026.75,11,East,3.5,,,Nepaltar, Kathmandu,
45000000,1026.75,16,East,,6,4,Old Baneshwor, Kathmandu,
23500000,1026.75,13,East,2.5,4,4,Imadol, Lalitpur,
10000000,1026.75,8,East,1,2,1,Phutung, Kathmandu,
13000000,1026.75,13,East,1,2,1,Gorkarneshwor, Kathmandu,
29000000,1026.75,13,East,2.5,,,Sundarbasti, Kathmandu,
23500000,1026.75,13,East,2.5,5,3,Imadol, Lalitpur,
26000000,1026.75,13,East,2.5,4,3,Satdobato, Lalitpur,
20000000,1026.75,13,East,2,5,2,Boharatar, Kathmandu,
23000000,1026.75,12,East,2.5,4,4,Imadol, Lalitpur,
23000000,1026.75,12,East,2.5,,,Imadol, Lalitpur,
23500000,1026.75,13,East,2.5,,,Imadol, Lalitpur,
20500000,1026.75,16,East,2.5,4,3,Goldhunga, Kathmandu,
24000000,1026.75,13,East,2.5,,,Deuwa chowk, Kathmandu,
77500000,1026.75,13,East,6,,6,Putalisadak, Kathmandu,
