district,Municipality,vdc,price,landsize,bedroom,bathroom,builtyear,parking,direction,floor,Road
Lalitpur,Patan,Balkumari,18000000,1250,3,2,2070,3+,East,12,
Bhaktapur,Madhyapur-07,Sanothimi,70000000,5133.75,7,4,2060,3+,East,2.5,36
Bhaktapur,Bhaktapur,Dhadikot,59500000,3422.5,5,6,2079,3+,East,2.5,14
Kathmandu,Kathmandu,Koteshwor,48000000,2738,5,4,2070,3+,East,3.5,10
Kathmandu,Kathmandu,Balkhu,45000000,2652.4375,4,3,2030,3+,East,2.5,16
Kathmandu,Kathmandu,Gokarneshwor Municipality- 2,18000000,2566.875,2,1,2079,3+,East,1.5,12
Lalitpur,Lalitpur,Thasikhel,23500000,1882.375,6,5,2079,3+,East,2.5,10
Lalitpur,Lalitpur-26,Dholahiti Height,29900000,1796.8125,6,3,2079,3+,East,2.5,20
Kathmandu,Gokarneshwor,"Narayantar, Jorpati",27500000,1711.25,5,5,2075,3+,East,3.5,10
Lalitpur,Lalitpur,Imadol,41500000,1625.6875,4,4,2079,3+,East,2.5,20
Kathmandu,Kathmandu,Kapan,33000000,1540.125,6,3,2079,3+,East,3,13
Lalitpur,lalitpur,Shital Height,29000000,1369,4,4,2079,3+,East,2.5,20
Kathmandu,Kathmandu,Chandragiri,21000000,1283.4375,9,5,2070,3+,East,4,25
Kathmandu,Kageshwari-Manohara-07,Kadaghari,21500000,1283.4375,6,3,2079,3+,East,3,13
Kathmandu,Tarkeshwar,Manamaiju,25500000,1283.4375,7,4,2079,3+,East,3.5,14
Lalitpur,Mahalaxmi,Tikathali,24500000,1197.875,6,5,2079,3+,East,2.5,16
Kathmandu,Kathmandu,PepsiCola,22000000,1197.875,6,4,2079,3+,East,3,10
Lalitpur,Lalitpur Metropolitan,Nakkhu,39000000,1197.875,5,6,2075,3+,East,3.5,13
Kathmandu,Kathmandu,Kirtipur,23500000,1197.875,10,4,2075,3+,East,4,30
Kathmandu,Kathmandu,Jorpati,20000000,1197.875,5,2,2075,3+,East,2,13
Lalitpur,Mahalaxmi-5,Tikathali,26000000,1197.875,7,3,2079,3+,East,2.5,12
Kathmandu,Budanilkantha-10,Kapan,27500000,1197.875,5,2,2070,3+,East,2.5,11
Kathmandu,Gokarneshwor-1,Makalbari,16000000,1197.875,3,3,2070,3+,East,2.5,10
Kathmandu,Kathmandu,Sitapaila,30000000,1197.875,2,2,2079,3+,East,2.5,13
Bhaktapur,Madyapur Thimi-08,Bode,18500000,1155.09375,3,3,2075,3+,East,2.5,13
Lalitpur,Mahalaxmi,TIkathali,15000000,1133.703125,5,2,2070,3+,East,2.5,10
Kathmandu,Jorpati,Makalbari,18000000,1069.53125,5,3,2079,3+,East,2.5,12
Kathmandu,Kathmandu,Gothatar,24000000,1069.53125,6,3,2075,3+,East,2.5,13
Lalitpur,Mahalaxmi,Imadol,17200000,1069.53125,6,3,2079,3+,East,2.5,13
Lalitpur,Mahalaxmi-4,Imadol,26000000,1026.75,6,3,2079,3+,East,3,13
Lalitpur,Mahalaxmi,Imadol,28500000,1026.75,6,3,2079,3+,East,2.5,20
Lalitpur,Mahalaxmi-4,Sita Pakha,25000000,1026.75,4,4,2079,3+,East,2.5,13
Lalitpur,Mahalaxmi-5,Tikathali,25000000,1026.75,6,5,2079,3+,East,2.5,16
Kathmandu,Kathmandu,Sankhamul,37000000,1026.75,6,3,2060,3+,East,3.5,13
Lalitpur,Mahalaxmi-5,Tikathali,19900000,941.1875,5,4,2079,3+,East,3,13
Kathmandu,Gokarneshwor,Jorpati,15200000,855.625,4,3,2079,3+,East,2.5,10
Kathmandu,Kathmandu,Boudha,100000000,2738,6,4,2060,3-,East,4,10
Lalitpur,Lalitpur,"Imadol, Gairi Gaun",31500000,1690.715,6,4,2070,3+,North,2.5,12
Bhaktapur,Bhaktapur,Araniko Highway,65000000,4278.125,4,5,2060,3+,North,2.5,20
Kathmandu,Kathmandu,Budhanilkantha,53000000,1882.375,5,3,2079,3+,North,3,14
Kathmandu,Budhanilkantha,Budhanilkantha,31000000,1882.375,5,6,2079,3+,North,2.5,20
Kathmandu,Kageshwori Manahara-6,Mulpani,30000000,1711.25,6,3,2075,3+,North,2.5,20
Lalitpur,Lalitpur,Harisiddhi,27000000,1411.78125,3,3,2079,3+,North,2.5,20
Kathmandu,Swayambhu,Pandhara Chowk,24500000,1403.225,4,4,2079,3-,North,2.5,20
Kathmandu,Kathmandu,Mulpani 7,20000000,1369,6,3,2070,3+,North,2.5,10
Kathmandu,Kathmandu,Sukedhara Chowk,45000000,1369,6,4,2079,3+,North,2.5,20
Kathmandu,Kathmandu,Gothatar,17000000,1369,6,3,2079,3+,North,2.5,10
Kathmandu,Kathmandu,"Nayabasti, Jorpati",31000000,1235.5225,11,3,2060,3+,North,3.5,10
Lalitpur,Lalitpur,Tikathali,22500000,1112.3125,6,3,2079,3+,North,2.5,12
Lalitpur,Mahalaxmi-6,Sanagaun,16000000,1091.7775,2,1,2079,3+,North,1,13
Kathmandu,Mulpani,Kageshwori Manahara-6,15000000,1026.75,6,3,2075,3+,North,2.5,10
Lalitpur,Mahalaxmi-4,Imadol,24000000,1026.75,5,4,2079,3+,North,2.5,16
Bhaktapur,Changunarayan-02,Duwakot,13500000,855.625,5,4,2079,3+,North,3,8
Kathmandu,Kathmandu-06,Patitar,67500000,3101.640625,11,4,2079,3+,North East,4,20
