Floors,City,Municipality,Address,Land,Price,Bedroom,Bathroom,Builtyear,Parking,Face
4.5,Kathmandu,Samakhusi,Ranibari,2652.4375,45000000,7,8,2079,3+,West
2.5,Kathmandu,Kathmandu,Boudha,1754.03125,35000000,5,4,2070,3+,West
3,Kathmandu,Kathmandu,Dhungedhara,1026.75,33000000,5,4,2079,3+,West
2.5,Bhaktapur,Madhyapur Thimi,Chardobato,1540.125,31000000,5,4,2070,3+,West
2.5,Kathmandu,Budhanilkantha,Kapan,1625.6875,31000000,5,4,2079,3+,West
2.5,Kathmandu,Chandragiri,Purano Naikap,1711.25,30000000,5,4,2079,3+,West
2.5,Bhaktapur,Suryabinayak,Srijana Nagar,1711.25,30000000,5,5,2070,3+,West
2.5,Kathmandu,Guheshwori Planning,Guheshwori Planning,1283.4375,28000000,8,4,2079,3+,West
2.5,Bhaktapur,Bhaktapur,Balkot,1155.09375,27500000,4,4,2079,3+,West
2.5,Lalitpur,Mahalaxmi,Imadol,1147.0851,27500000,7,4,2079,3+,West
3.5,Bhaktapur,Madhyapur Thimi,Lokanthali,1197.875,27500000,8,4,2070,3+,West
3,Lalitpur,Mahalaxmi,Imadol,1026.75,26500000,5,3,2079,3+,West
2.5,Lalitpur,Mahalaxmi,Imadol,1112.3125,26000000,5,5,2079,3+,West
2.5,Kathmandu,Kageshwori Manohara,Pepsicola,1454.5625,25500000,6,4,2079,3+,West
2.5,Lalitpur,Mahalaxmi,Imadol,1047.285,24000000,4,4,2079,3+,West
2.5,Lalitpur,Mahalaxmi,Tikathali,1112.3125,23500000,7,3,2079,3+,West
3,Kathmandu,Kathmandu,Kumarigal,1026.75,23000000,5,4,2079,3+,West
3,Lalitpur,Mahalaxmi,Imadol,941.1875,23000000,5,5,2079,3+,West
2.5,Lalitpur,Mahalaxmi,Tikathali,1026.75,23000000,4,4,2079,3+,West
2.5,Lalitpur,Mahalaxmi,Imadol,1026.75,22500000,4,4,2079,3+,West
2.5,Lalitpur,Mahalaxmi ,Imadol,1197.875,22500000,6,3,2079,3+,West
2.5,Lalitpur,Lalitpur,Saibu,855.625,21500000,5,3,2079,3+,West
2.5,Lalitpur,Lalitpur,Imadol,855.625,20600000,6,3,2079,3+,West
3.5,Lalitpur,Mahalaxmi,Imadol,1411.78125,20000000,7,3,2060,3+,West
1,Kathmandu,Lalitpur,Tikathali,1112.3125,17200000,2,1,2079,3+,West
1,Lalitpur,Lalitpur,Tikathali,1433.171875,17000000,2,1,2079,3+,West
1,Bhaktapur,Suryabinayek,Sirutar,1369,15000000,2,1,2079,3+,West
3.5,Kathmandu,Kathmandu,Naya Bazar,2053.5,95000000,8,3,2030,3+,South West
2.5,Kathmandu,Kathmandu,Kapan,3080.25,52500000,5,5,2075,3+,South West
2.5,Lalitpur,Mahalaxmi,Imadol,1882.375,45000000,4,4,2079,3+,South West
2.5,Kathmandu,Budanilakantha,Golfutar,1689.859375,34000000,5,5,2075,3+,South West
2.5,Kathmandu,Kapan,Budhanilkantha,1711.25,30000000,5,4,2079,3+,South West
2.5,Kathmandu,Tarakeshwor,Manamaiju,1283.4375,27000000,7,3,2079,3+,South West
3,Kathmandu,Kathmandu, Syuchatar,1711.25,25000000,5,4,2070,3+,South West
2.5,Lalitpur,Mahalaxmi,Tikathali,1112.3125,25000000,6,3,2079,3+,South West
2.5,Kathmandu,Kageshwori Manohara,Birendra Chowk,1048.140625,24000000,6,3,2079,3+,South West
2.5,Lalitpur,Mahalaxmi,Siddhipur Height,1026.75,22500000,5,4,2079,3+,South West
1,Lalitpur,Lalitpur,Imadol,855.625,15500000,2,1,2079,3+,South West
3.5,Kathmandu,Tokha ,Gongabu,2738,150000,11,6,2070,3+,South West
2.5,Kathmandu,Budhanilkantha,Budhanilkantha,3764.75,85000000,6,4,2079,3+,South East
2.5,Kathmandu,BUdhanilkantha,Budhanilkantha,2395.75,70000000,5,6,2079,3+,South East
5.5,Kathmandu,Kathmandu,Kalanki,1711.25,60000000,20,10,2070,3+,South East
4,Kathmandu,Kathmandu,Baluwatar,2395.75,41000000,11,4,2060,3+,South East
3,Kathmandu,Kathmandu,Baniyatar,1625.6875,35000000,6,5,2079,3+,South East
2.5,Kathmandu,Budhanilkantha,Kapan,1732.640625,30000000,7,5,2079,3+,South East
2.5,Lalitpur,Lalitpur,Dhapakhel,1197.875,29000000,3,3,2079,3+,South East
3.5,Kathmandu,Chandragiri,Naya Naikap,1454.5625,29000000,7,4,2079,3+,South East
3,Kathmandu,Gokarneshwor,Nayapati,1283.4375,26000000,6,3,2075,3+,South East
2.5,Kathmandu,Budanilakantha,Sundar Basti Bhangal,1163.65,26000000,5,3,2079,3+,South East
2.5,Kathmandu,Tarakeshwor,Padamshal,1882.375,26000000,6,3,2079,3+,South East
2,Kathmandu,Chandragiri,Machhegaun,1561.515625,24000000,2,3,2075,3+,South East
2.5,Lalitpur,Lalitpur,Tikathali,1112.3125,23500000,5,4,2079,3+,South East
2.5,Kathmandu,Kageshwori Manohara ,Kadaghari,1369,23500000,6,4,2079,3+,South East
2.5,Lalitpur,Mahalaxmi,Imadol,1005.359375,22000000,5,3,2075,3+,South East
2.5,Lalitpur,Mahalaxmi,Imadol,1026.75,21000000,6,3,2079,3+,South East
12,Lalitpur,Patan,Balkumari,1394,17500000,3,2,2070,3+,South East
2.5,Kathmandu,Chandragiri ,Balambu,855.625,14500000,5,3,2075,3+,South East
2.5,Kathmandu,Chandragiri,Thankot,1026.75,14500000,2,3,2079,3+,South East
1,Lalitpur,Lalitpur,Hattiban,605,8000000,2,1,2079,3+,South East
6.5,Kathmandu,Gausala,Ratopol,5133.75,220000000,28,11,2070,3+,South
2.5,Kathmandu,Kathmandu,Samakhusi,3422.5,72500000,6,6,2079,3+,South
3.5,Kathmandu,Kathmandu,Kalimati,2053.5,68000000,10,5,2060,3+,South
3.5,Bhaktapur,Suryabinayak,Balkot,2566.875,55000000,3,3,2079,3+,South
3.5,Kathmandu,Kathmandu,Thamel,2012.43,55000000,6,4,2030,3+,South
2.5,Lalitpur,Lalitpur,Bhainsepati,3101.640625,50000000,3,4,2075,3+,South
