floors,district,Municipality,Address,Land,Price,bedroom,bathroom,Face,Road,url
3.5,Kathmandu,Tokha,Tokha,1711.25,36100000,7,3,South,18,https://epropertynepal.com/properties/1068-house-for-sale-near-grande-hospital-kathmandu
3,Kathmandu,Kathmandu,Tinthana,2762.29975,50000000,7,3,North West,24,https://epropertynepal.com/properties/2375-bungalow-for-sale-at-tinthana-kathmandu
1,Kathmandu,Lalitpur,Tikathali,1112.3125,17200000,2,1,West,13,https://epropertynepal.com/properties/2977-1-storey-house-for-sale-at-school-chwok-tikathali-lalitpur
3,Lalitpur,Mahalaxmi,Tikathali,855.625,18500000,3,3,North East,10,https://epropertynepal.com/properties/2634-3-storey-house-for-sale-at-tikathali-lalitpur
3,Lalitpur,Mahalaxmi-5,Tikathali,941.1875,19900000,5,4,East,13,https://epropertynepal.com/properties/3005-3-storey-house-for-sale-at-tikathali-lalitpur
3,Lalitpur,Mahalaxmi-5,Tikathali,1069.53125,24500000,6,3,South,12,https://epropertynepal.com/properties/2995-3-storey-house-for-sale-at-tikathali-lalitpur
3,Lalitpur,Mahalaxmi-5,Tikathali,1112.3125,26000000,6,4,South,13,https://epropertynepal.com/properties/3001-3-storey-house-for-sale-at-bhandari-gaun-tikathali-with-1-crore-banking-facility
2.5,Lalitpur,Mahalaxmi-5,Tikathali,941.1875,21000000,5,3,East,13,https://epropertynepal.com/properties/2643-2-5-storey-house-for-sale-at-tikathali-lalitpur
2.5,Lalitpur,Mahalaxmi,Tikathali,1026.75,18500000,4,2,South,13,https://epropertynepal.com/properties/1463-house-for-sale-at-tikathali-lalitpur
2.5,Lalitpur,Mahalaxmi,Tikathali,1026.75,23500000,7,3,North West,13,https://epropertynepal.com/properties/2615-2-5-storey-house-for-sale-at-tikathali-lalitpur
2.5,Lalitpur,Mahalaxmi-5,Tikathali,1026.75,23000000,4,4,West,20,https://epropertynepal.com/properties/2414-2-5-storey-house-for-sale-at-tikathali-lalitpur
2.5,Lalitpur,Mahalaxmi,Tikathali,1026.75,21500000,4,4,North,13,https://epropertynepal.com/properties/2397-2-5-storey-house-for-sale-at-tikathali-lalitpur
2.5,Lalitpur,Mahalaxmi,Tikathali,1026.75,19500000,5,4,North,13,https://epropertynepal.com/properties/1900-house-for-sale-at-tikathali-lalitpur
2.5,Lalitpur,Mahalaxmi-5,Tikathali,1026.75,25000000,6,5,East,16,https://epropertynepal.com/properties/3003-2-5-storey-house-for-sale-at-sanagaun-tikathali-with-1-crore-banking-facility
2.5,Lalitpur,Mahalaxmi,Tikathali,1048.140625,23000000,5,4,East,13,https://epropertynepal.com/properties/2297-house-for-sale-at-tikathali-lalitpur
2.5,Lalitpur,Lalitpur,Tikathali,1048.140625,24000000,7,5,West,13,https://epropertynepal.com/properties/3075-2-5-storey-house-for-sale-at-tikathali-with-1-crore-banking-facility
2.5,Lalitpur,Mahalaxmi,Tikathali,1112.3125,25000000,6,3,South West,13,https://epropertynepal.com/properties/2653-2-5-storey-house-for-sale-at-tikathali-lalitpur
2.5,Lalitpur,Lalitpur,Tikathali,1112.3125,22500000,6,3,North,13,https://epropertynepal.com/properties/2662-2-5-storey-house-for-sale-at-imadol-lalitpur
2.5,Lalitpur,Mahalaxmi,Tikathali,1112.3125,23500000,7,3,West,20,https://epropertynepal.com/properties/2616-2-5-storey-house-for-sale-at-tikathali-lalitpur
2.5,Lalitpur,Mahalaxmi- 05,Tikathali,1112.3125,22500000,4,4,South,16,https://epropertynepal.com/properties/1897-house-for-sale-at-tikathali-lalitpur
