title,district,Municipality,vdc,price,landsize,bedroom,bathroom,builtyear,parking,direction,url,price.1
"House for Sale at Dallu, Kathmandu",Kathmandu,Kathmandu,Infront of Raja Birendra Marga,,11.5 aana,21,4,2030,16,North West,https://epropertynepal.com/properties/1283-house-for-sale-at-dallu-kathmandu,73000000
"House for Sale at Balaju, Kathmandu",Kathmandu,Balaju,Ganga Hall Marg,,9.0 aana,11,10,2070,16,North East,https://epropertynepal.com/properties/1158-house-for-sale-at-balaju-kathmandu,47500000
"House for Sale at Mulpani, Kathmandu",Kathmandu,Kageshwori Manahara-6,Mulpani,,5.0 aana,6,3,2075,14,North,https://epropertynepal.com/properties/1683-house-for-sale-at-mulpani-kathmandu,30000000
"3.5 Storey Beautiful House for Sale at Gongabu, Kathmandu",Kathmandu,Tokha- 11,Gongabu,,8.0 aana,11,6,2070,9,South West,https://epropertynepal.com/properties/1097-3-5-storey-beautiful-house-for-sale-at-gongabu-kathmandu,55000000
"2.5 Storey Fully Furnished House For Sale at Dhadikot Height, Bhaktapur",Bhaktapur,Bhaktapur,Dhadikot,,10.0 aana,5,6,2079,9,East,https://epropertynepal.com/properties/2875-2-5-storey-fully-furnished-house-for-sale-at-dhadikot-height-bhaktapur,59500000
"2.5 Storey House For Sale at Budhanilkantha, Kathmandu",Kathmandu,BUdhanilkantha-1,Budhanilkantha,,7.0 aana,5,6,2079,9,South East,https://epropertynepal.com/properties/2821-2-5-storey-house-for-sale-at-budhanilkantha-kathmandu,70000000
"House for Sale at Nayabasti, Kathmandu.",Kathmandu,Kathmandu-06,Patitar,,9.0625 aana,11,4,2079,8,North East,https://epropertynepal.com/properties/1638-house-for-sale-at-nayabasti-kathmandu,67500000
"4.5 Storey Full Furnished House for Sale at Bode, Bhaktapur",Bhaktapur,Bhaktapur,Bode,,6.0 aana,13,7,2079,7,North East,https://epropertynepal.com/properties/2882-4-5-storey-full-furnished-house-for-sale-at-bode-bhaktapur,45500000
"House for Sale at Kalanki, Kathmandu",Kathmandu,Kathmandu,Kalanki,,5.0 aana,20,10,2070,5,South East,https://epropertynepal.com/properties/1563-house-for-sale-at-kalanki-kathmandu,60000000
"4.5 Storey House for Sale at Machhapokhari, Kathmandu",Kathmandu,Kathmandu,Machhapokhari,,6.375 aana,20,21,2079,13,North East,https://epropertynepal.com/properties/999-4-5-storey-house-for-sale-at-machhapokhari-kathmandu,52500000
"4.5 Storey Semi Commercial House For Sale at Basundhara, Kathmandu",Kathmandu,Kathmandu,Basundhara,,4.25 aana,8,4,2070,10,North East,https://epropertynepal.com/properties/2973-4-5-storey-semi-commercial-house-for-sale-at-basundhara-kathmandu,42500000
"House for Sale at Naya Bazar, Kathmandu",Kathmandu,Kathmandu,Naya Bazar,,6.0 aana,8,3,2030,10,South West,https://epropertynepal.com/properties/1648-house-for-sale-at-naya-bazar-kathmandu,95000000
"House for Sale at Mulpani, Kathmandu",Kathmandu,Kathmandu,Mulpani 7,,4.0 aana,6,3,2070,8,North,https://epropertynepal.com/properties/360-house-for-sale-at-mulpani-kathmandu,20000000
"2.5 Storey House For Sale At Thasikhel, Ranibu, Lalitpur",Lalitpur,Lalitpur,Thasikhel,,5.5 aana,6,5,2079,8,East,https://epropertynepal.com/properties/718-2-5-storey-house-for-sale-at-thasikhel-ranibu-lalitpur,23500000
"2.5 Storey House For Sale At Thasikhel, Ranibu, Lalitpur",Lalitpur,Lalitpur,Thasikhel,,5.5 aana,6,5,2079,8,East,https://epropertynepal.com/properties/718-2-5-storey-house-for-sale-at-thasikhel-ranibu-lalitpur,23500000
"Bungalow For Sale at Tinthana, Kathmandu",Kathmandu,Kathmandu,Tinthana,,8.071 aana,7,3,2060,8,North West,https://epropertynepal.com/properties/2375-bungalow-for-sale-at-tinthana-kathmandu,50000000
"3 Storey Bungalow for Sale at Hepali Height Budhanilkantha ,Kathmandu",Kathmandu,Kathmandu,Budhanilkantha,,5.5 aana,5,3,2079,8,North,https://epropertynepal.com/properties/2734-3-storey-bungalow-for-sale-at-hepali-height-budhanilkantha-kathmandu,53000000
"2.5 Storey House For Sale at Lubhu, Lalitpur",Lalitpur,Mahalaxmi-9,Lubhu,,3.6875 aana,6,6,2079,7,South,https://epropertynepal.com/properties/2548-2-5-storey-house-for-sale-at-lubhu-lalitpur,23500000
"3 Storey House For Sale at Nayapati, Kathmandu",Kathmandu,Gokarneshwor-2,Nayapati,,3.75 aana,6,3,2075,7,South East,https://epropertynepal.com/properties/2674-3-storey-house-for-sale-at-nayapati-kathmandu,26000000
"House for Sale at Baluwatar, Kathmandu",Kathmandu,Kathmandu,Baluwatar,,7.0 aana,11,4,2060,7,South East,https://epropertynepal.com/properties/2648-house-for-sale-at-baluwatar-kathmandu,41000000
"Newly Constructed House For Sale at Sukedhara, Kathmandu",Kathmandu,Kathmandu,Sukedhara Chowk,,4.0 aana,6,4,2079,7,North,https://epropertynepal.com/properties/833-newly-constructed-house-for-sale-at-sukedhara-kathmandu,45000000
"2.5 Storey House for Sale at Balkhu, Kathmandu",Kathmandu,Kathmandu,Balkhu,,7.75 aana,4,3,2030,7,East,https://epropertynepal.com/properties/1004-2-5-storey-house-for-sale-at-balkhu-kathmandu,45000000
"Beautiful Residential House for sale in Rudreshwor Chowk, Budhanilkantha",Kathmandu,Kathmandu,Budhanilkantha,,5.75 aana,5,5,2079,7,South,https://epropertynepal.com/properties/2508-beautiful-residential-house-for-sale-in-rudreshwor-chowk-budhanilkantha,49500000
"House for Sale at Balkot, Bhaktapur",Bhaktapur,Suryabinayak-2,Balkot,,7.5 aana,3,3,2079,7,South,https://epropertynepal.com/properties/2229-house-for-sale-at-balkot-bhaktapur,55000000
"House for Sale at Imadol, Lalitpur",Lalitpur,Mahalaxmi- 02,Imadol,,3.5 aana,6,3,2079,6,West,https://epropertynepal.com/properties/1626-house-for-sale-at-imadol-lalitpur,22500000
"House for Sale at Khumaltar, Lalitpur",Lalitpur,Lalitpur,Khumaltar,,3.875 aana,4,4,2079,6,North East,https://epropertynepal.com/properties/1136-house-for-sale-at-khumaltar-lalitpur,23000000
"House for Sale at Narayantar, Kathmandu",Kathmandu,Gokarneshwor,"Narayantar, Jorpati",,5.0 aana,5,5,2075,6,East,https://epropertynepal.com/properties/1318-house-for-sale-at-narayantar-kathmandu,27500000
"House for Sale at Kapan, Kathmandu",Kathmandu,Budhanilkantha,Kapan,,4.75 aana,5,4,2079,6,West,https://epropertynepal.com/properties/1622-house-for-sale-at-kapan-kathmandu,31000000
"2.5 Storey House for Sale at Imadol, Lalitpur",Lalitpur,Lalitpur,"Imadol, Gairi Gaun",,4.94 aana,6,4,2070,6,Facing,https://epropertynepal.com/properties/573-2-5-storey-house-for-sale-at-imadol-lalitpur,31500000
"2.5 Storey House For Sale at Guhyeshwari Town Planning Boudha, Kathmandu",Kathmandu,Kathmandu,Boudha,,5.125 aana,5,4,2070,6,West,https://epropertynepal.com/properties/2848-2-5-storey-house-for-sale-at-guhyeshwari-town-planning-boudha-kathmandu,35000000
"House for Sale at Bhainsepati, Lalitpur",Lalitpur,Lalitpur,Bhainsepati,,5.25 aana,5,6,2079,6,North East,https://epropertynepal.com/properties/1753-house-for-sale-at-bhainsepati-lalitpur,50000000
"3.5 Storey House for Sale at Thamel, Kathmandu",Kathmandu,Kathmandu,Thamel,,5.88 aana,6,4,2030,6,South,https://epropertynepal.com/properties/2833-3-5-storey-house-for-sale-at-thamel-kathmandu,55000000
"1 Storey House For Sale at Tikathali, Lalitpur",Lalitpur,Lalitpur,Tikathali,,4.1875 aana,2,1,2079,4,West,https://epropertynepal.com/properties/2740-1-storey-house-for-sale-at-tikathali-lalitpur,17000000
"House For Sale at Tikathali, Lalitpur",Lalitpur,Mahalaxmi,Tikathali,,3.5 aana,6,5,2079,4,East,https://epropertynepal.com/properties/2351-house-for-sale-at-tikathali-lalitpur,24500000
"House for Sale at Pepsicola, Kathmandu",Kathmandu,Kageshwori Manohara,Pepsicola,,4.25 aana,6,4,2079,4,West,https://epropertynepal.com/properties/1274-house-for-sale-at-pepsicola-kathmandu,25500000
"6.5 Storey House for Sale at Gaushala, Kathmandu",Kathmandu,Gausala,Ratopol,,15.0 aana,28,11,2070,20,South,https://epropertynepal.com/properties/1061-6-5-storey-house-for-sale-at-gaushala-kathmandu,220000000
"House for Sale at Ichangunarayan, Kathmandu",Kathmandu,Nagarjun-03,Ratomate,,2.75 aana,4,3,2075,7,Facing,https://epropertynepal.com/properties/1419-house-for-sale-at-ichangunarayan-kathmandu,13000000
"2.5 Storey House for Sale at Ramkot, Kathmandu",Kathmandu,Nagarjun- 8,Ramkot,,3.5 aana,2,4,2075,7,South,https://epropertynepal.com/properties/2706-2-5-storey-house-for-sale-at-ramkot-kathmandu,19000000
"3.5 Storey House For Sale at Satungal, Katmandu",Kathmandu,Chandragiri-11,Satungal,,4.0 aana,8,5,2070,7,North East,https://epropertynepal.com/properties/2893-3-5-storey-house-for-sale-at-satungal-katmandu,29000000
"2.5 Storey House For Sale at Madhyapur Thimi-3 Chardobato, Bhaktapur",Bhaktapur,Madhyapur Thimi-3,Chardobato,,4.5 aana,5,4,2070,7,West,https://epropertynepal.com/properties/2927-2-5-storey-house-for-sale-at-madhyapur-thimi-3-chardobato-bhaktapur,31000000
"3 Storey House For Sale at Kapan, Kathmandu",Kathmandu,Kathmandu,Kapan,,4.5 aana,6,3,2079,7,East,https://epropertynepal.com/properties/2777-3-storey-house-for-sale-at-kapan-kathmandu,33000000
"3.5 Storey House for Sale at Attarkhel, Jorpati",Kathmandu,Gokarneshwor,Jorpati,,4.0 aana,6,6,2070,7,North East,https://epropertynepal.com/properties/1009-3-5-storey-house-for-sale-at-attarkhel-jorpati,37000000
"2.5 Storey Beautiful House for Sale at Thankot, Kathmandu",Kathmandu,Chandragiri,Thankot,,3.0 aana,2,3,2079,6,South East,https://epropertynepal.com/properties/1058-2-5-storey-beautiful-house-for-sale-at-thankot-kathmandu,14500000
House for Sale at Near Chandragiri Cable Car Substation,Kathmandu,Kathmandu,Chandragiri,,3.75 aana,9,5,2070,6,East,https://epropertynepal.com/properties/985-house-for-sale-at-near-chandragiri-cable-car-substation,21000000
"House for Sale at Pepsicola, Kathmandu",Kathmandu,Kathmandu,PepsiCola,,3.5 aana,6,4,2079,6,East,https://epropertynepal.com/properties/342-house-for-sale-at-pepsicola-kathmandu,22000000
"3 Storey House For Sale at Imadol, Lalitpur",Lalitpur,Mahalaxmi-4,Imadol,,3.0 aana,6,3,2079,6,East,https://epropertynepal.com/properties/2824-3-storey-house-for-sale-at-imadol-lalitpur,26000000
"2.5 Storey Bungalow for Sale at Harisiddhi, Lalitpur",Lalitpur,Lalitpur,Harisiddhi,,4.125 aana,3,3,2079,6,North,https://epropertynepal.com/properties/1075-2-5-storey-bungalow-for-sale-at-harisiddhi-lalitpur,27000000
"House for Sale at Guheshwori, Kathmandu",Kathmandu,Guheshwori Planning,Guheshwori Planning,,3.75 aana,8,4,2079,6,West,https://epropertynepal.com/properties/1000-house-for-sale-at-guheshwori-kathmandu,28000000
"2.5 Storey 2 Houses for Sale at Imadol, Lalitpur",Lalitpur,Mahalaxmi,Imadol,,3.0 aana,6,3,2079,6,East,https://epropertynepal.com/properties/2686-2-5-storey-2-houses-for-sale-at-imadol-lalitpur,28500000
"3.5 Storey House for Sale at Nakkhu, Lalitpur",Lalitpur,Lalitpur Metropolitan,Nakkhu,,3.5 aana,5,6,2075,6,East,https://epropertynepal.com/properties/2696-3-5-storey-house-for-sale-at-nakkhu-lalitpur,39000000
"1 Storey House For Sale at School Chwok Tikathali, Lalitpur",Kathmandu,Lalitpur,Tikathali,,3.25 aana,2,1,2079,5,West,https://epropertynepal.com/properties/2977-1-storey-house-for-sale-at-school-chwok-tikathali-lalitpur,17200000
