Price,Land,Bedroom,Bathroom,Floors,Address,Road,Face,City
31500000,28235.62,6,2,2.5,Balaju,10,South,Kathmandu
118400000,14609.79,,,,Bhaktapur,20,East,Bhaktapur
50000000,12663.25,5,2,2,Kirtipur,18,,Kathmandu
170000000,12235.43,,7,4,Kirtipur,36,South,Kathmandu
,10952,10,6,3,Dhalko,15,West,Kathmandu
45000000,8042.87,6,,2.5,Nayapati,18,South West,Kathmandu
50000000,7529.5,21,,3,Golfutar,25,South East,Kathmandu
34000000,7529.5,7,3,2.5,Tathali,33,South,Bhaktapur
100000000,6845,4,2,2.5,Dhobighat,16,East,Lalitpur
31000000,6160.5,,,,Budhanilkantha,20,West,Kathmandu
170000000,5818.25,,,,Naxal,,North,Kathmandu
,5476,,20,6,Chhyamhasingh,40,North East,Bhaktapur
64000000,5476,,4,2,Thulo bharyang,13,East,Kathmandu
,5476,,,,Maharajgunj,14,North,Kathmandu
,5000,,4,,Ambe complex,32,East,Kathmandu
30900000,4962.62,,,,Kumarigal,13,South East,Kathmandu
14000000,4791.5,,,,Naxal,,North,Kathmandu
,4791.5,8,,2.5,Lalitpur,13,South West,Kathmandu
75000000,4791.5,5,5,2.5,Kunwar colony,20,East,Kathmandu
,4791.5,8,2,2.5,Kumaripati,13,North East,Lalitpur
35000000,4449.25,8,7,2.5,Ganesthan,22,West,Kathmandu
65000000,4449.25,9,3,2.5,,24,West,
15000000,4363.68,15,4,3.5,Changunarayan,12,South East,Bhaktapur
,4192.56,4,3,2,Budhanilkantha,26,South East,Kathmandu
29000000,4107,14,,2.5,Godamchaur,13,South,Lalitpur
,4100,4,3,2.5,Chakupat,20,North West,Lalitpur
,3935.87,,,,Anamnagar,10,West,Kathmandu
28000000,3593.62,5,3,2.5,Dahachowk,12,East,Kathmandu
45000000,3422.5,7,6,2.5,Medicity hospital,12,South West,Lalitpur
55000000,3422.5,7,2,2.5,Balaju,12,South,Kathmandu
72500000,3422,6,,2.5,Kathmandu,13,North East,Kathmandu
,3080.25,7,,3,Tikathali,12,North East,Lalitpur
50000000,3080.25,3,3,2.5,Khumaltar,20,South,Lalitpur
52500000,3080.25,5,5,2.5,Kapan,18,South East,Kathmandu
35000000,3080.25,4,,2,Bijeshwari,,North,Kathmandu
85000000,3037.46,5,4,2.5,,20,East,
