title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
Old House for Sale inside Bhaktapur only for Bhaktapurians | 9803828501,Bhaktapur,BMC,Bhaktapur,513.375,6,4000000,2,1,2076,3-,East,https://www.gharghaderi.com/house/1885-Old-House-for-Sale-inside-Bhaktapur-only-for-Bhaktapurians/
Samanthali naya basti | 9813875249,Bhaktapur,BMC,"Samanthali , duwakot",1060.975,10,9000000,3,2,2075,3-,North,https://www.gharghaderi.com/house/1866-Samanthali-naya-basti/
House for sale at Bhaktapur | 9851129421,Bhaktapur,Suryabinayak,suryabinayak,1026.75,12,12000000,2,1,2076,3-,East,https://www.gharghaderi.com/house/1149-House-for-sale-at-Bhaktapur/
House for sale in Suryabinayak Bhaktapur | 9851129421,Bhaktapur,Suryabinayak,Darjeeling Height,1112.31,13,12500000,2,1,2076,3-,East,https://www.gharghaderi.com/house/1112-House-for-sale-in-Suryabinayak-Bhaktapur/
New house & land on sale | 9851027535,Bhaktapur,Suryabinayak,Gundu,317.9,20,15000000,1,1,2076,3-,West,https://www.gharghaderi.com/house/1680-New-house-&-land-on-sale/
house sale | 9851099249,Bhaktapur,Suryabinayak,near from rose village,900,6,15000000,6,4,2072,3-,North east,https://www.gharghaderi.com/house/1952-house-sale/
New house sale in Bhaktapur | 9841825821,Bhaktapur,Madhyapur Thimi,Dunchepakha,1060.975,20,15000000,5,3,2076,3-,North,https://www.gharghaderi.com/house/1768-New-house-sale-in-Bhaktapur/
House for sale at Duwakot 2 Bhaktapur | 9841217372,Bhaktapur,Changunarayan,Duwakot,2053.5,20,15500000,4,2,2076,3-,East,https://www.gharghaderi.com/house/1406-House-for-sale-at-Duwakot-2-Bhaktapur/
"New House for Sale in Doleshwor, Suryabinayak, Bhaktapur | 9803828501 sold",Bhaktapur,Suryabinayak,Doleswor,700,6,16000000,6,3,2073,3-,East,https://www.gharghaderi.com/house/1383-New-House-for-Sale-in-Doleshwor-Suryabinayak-Bhaktapur/
New house for sale at Changnarayan Bhaktapur | 9841005745,Bhaktapur,Changunarayan,Changunarayan,1026.75,14,16000000,2,3,2075,3-,East,https://www.gharghaderi.com/house/1621-New-house-for-sale-at-Changnarayan-Bhaktapur/
Well built house on sale | 9863697942,Bhaktapur,Suryabinayak,Ganesh mandir,1437.45,8,18500000,1,1,2066,3-,East,https://www.gharghaderi.com/house/2746-Well-built-house-on-sale/
House for sale in Balkot 3 Suryabinayak | 9844013234,Bhaktapur,Suryabinayak,Balkot,1197.87,26,19500000,4,3,2073,3-,East,https://www.gharghaderi.com/house/645-House-for-sale-in-Balkot-3-Suryabinayak/
House for sale in Changunarayan | 9860070048,Bhaktapur,Changunarayan,Changunarayan,1411,,19500000,6,3,2076,3-,East,https://www.gharghaderi.com/house/2999-House-for-sale-in-Changunarayan/
"House Sale at Bhaktapur-Suryabinayak, PanduBazar | 9851158503",Bhaktapur,Suryabinayak,Suryabinayak,1026.75,10,20200000,7,4,2073,3-,East,https://www.gharghaderi.com/house/1770-House-Sale-at-Bhaktapur-Suryabinayak-PanduBazar/
"HOUSE (RECENTLY COMPLETED SEISMIC RESISTANT) ON SALE AT SURYABINAYAK - KATUNJE, BHAKTAPUR | 9841257156",Bhaktapur,Bhaktapur,"Suryabinayak-Katunje, Bhaktapur",1026.75,,20500000,4,3,2076,3-,South,https://www.gharghaderi.com/house/2744-HOUSE-(RECENTLY-COMPLETED-SEISMIC-RESISTANT)-ON-SALE-AT-SURYABINAYAK---KATUNJE-BHAKTAPUR/
"10BHK House For Sale At Sudal, Changunarayan | 9802640530",Bhaktapur,BMC,"Sudal, Changunarayan",1283.43,10,21000000,8,3,2076,3-,East,https://www.gharghaderi.com/house/2518-10BHK-House-For-Sale-At-Sudal-Changunarayan/
