Floor,Price,City,Address,Road,Land,Bedroom,Bathroom,Face
3.5,19500000,Bhaktapur,Balkot,26,1069.53,4,3,East
4,28000000,Bhaktapur,Balkot,13,1582.9,8,5,East
2.5,42500000,Bhaktapur,Balkot,30,1882.37,5,4,South
3.5,75000000,Bhaktapur,Balkot 2,13,3422.5,6,5,East
3,16000000,Bhaktapur,Changunarayan,14,1026.75,2,3,East
3.5,26500000,Bhaktapur,Chundevi,13,1711.25,8,4,East
2.5,59500000,Bhaktapur,Dadhikot,14,3422.5,5,6,East
2.5,63000000,Bhaktapur,Dadhikot Height,16,3422.5,5,5,South
1.5,12500000,Bhaktapur,Darjeeling Height,13,1048.14,2,1,East
3,16000000,Bhaktapur,Doleswor,6,700,6,3,East
1,750000000,Bhaktapur,Duwakot,10,1060.975,4,1,South
1.5,15500000,Bhaktapur,Duwakot,20,2053.5,4,2,East
2.5,18500000,Bhaktapur,Ganesh mandir,8,1437.45,1,1,East
5,80000000,Bhaktapur,Kausaltar,20,3762,8,5,North west
2.5,25000000,Bhaktapur,"Near of Nic Asia Bank,Sirutar",16,1133.7,4,4,West
4,24000000,Bhaktapur,"Radhe Radhe, Kamerotar Planning",24,800,4,4,North
2.5,25000000,Bhaktapur,Sallaghari,13,1369,6,3,North west
1.5,9000000,Bhaktapur,"Samanthali , duwakot",10,1060.975,3,2,North
2.5,24500000,Bhaktapur,Sano Thimi,20,1197.875,5,3,North
2.5,38000000,Bhaktapur,Sanothimi,13,1625.68,6,4,West
3,23000000,Bhaktapur,"Siddhikali Tole, Thimi",20,1369,5,3,North east
2.5,23000000,Bhaktapur,Sipadol,12,1561.51,5,3,South west
3.5,48000000,Bhaktapur,Sipadol,15,2053.5,7,5,West
3,27499999,Bhaktapur,Ss college near city flash swimming pool,13,1197.87,7,3,North east
3,29500000,Bhaktapur,Subarnachowk,10,1500,8,3,South
3.5,21000000,Bhaktapur,"Sudal, Changunarayan",10,1090.92,8,3,East
1,12000000,Bhaktapur,suryabinayak,12,1026.75,2,1,East
3.5,21500000,Bhaktapur,Suryabinayak,13,1026.75,6,5,East
2.5,55100000,Bhaktapur,Suryabinayak,13,3422.5,5,4,East
3,20200000,Bhaktapur,Suryabinayak,10,1026.75,7,4,East
3,95500000,Kathmandu,Anamnagar,13,3935.875,7,4,East
3,27500000,Kathmandu,Aryal-Gaun,13,1369,3,5,South
5,80000000,Kathmandu,Ason,20,941.18,1,4,South west
