Floors,City,Address,Land,Price,Bedroom,Bathroom,Parking,Face,Road
2,Kathmandu,Jorpati,1197.875,20000000,5,2,3+,East,4
3,Kathmandu,Kumarigal,1026.75,23000000,5,4,3+,West,8
2.5,Lalitpur,Tikathali,1026.75,18500000,4,2,3+,South,8
4,Kathmandu,Baluwatar,2395.75,41000000,11,4,3+,South East,10
4.5,Kathmandu,Basundhara,1454.5625,42500000,8,4,3+,North East,10
2.5,Kathmandu,Bhangal,1026.75,21000000,5,2,3+,East,10
2.5,Lalitpur,"Boje Pokhari, Imadol",1454.5625,25000000,6,2,3+,South,10
2.5,Lalitpur,"Boje Pokhari, Imadol",1283.4375,28000000,7,3,3+,East,10
2.5,Kathmandu,Boudha,1754.03125,35000000,5,4,3+,West,10
2.5,Kathmandu,Budhanilkantha,2310.1875,67500000,5,3,3+,North East,10
2.5,Kathmandu,Chandragiri,1454.5625,16500000,4,3,3+,East,10
2.5,Lalitpur,Dhunge Sangu,1283.4375,27500000,7,5,3+,North East,10
2.5,Lalitpur,Hattiban,1026.75,18000000,4,3,3+,North East,10
2.5,Lalitpur,Imadol,1026.75,21000000,6,3,3+,South East,10
2.5,Lalitpur,Imadol,1047.285,24000000,4,4,3+,West,10
3.5,Bhaktapur,Lokanthali,1197.875,27500000,8,4,3+,West,10
3.5,Kathmandu,Naya Bazar,2053.5,95000000,8,3,3+,South West,10
3.5,Lalitpur,Near Mediciti Hospital,3807.53125,62500000,8,6,3+,,10
2.5,Kathmandu,Padamshal,1882.375,26000000,6,3,3+,South East,10
2.5,Kathmandu,Ratomate,941.1875,13000000,4,3,3+,,10
2.5,Bhaktapur,Sanothimi,5133.75,70000000,7,4,3+,East,10
2.5,Kathmandu,Sundar Basti Bhangal,1163.65,26000000,5,3,3+,South East,10
3,Kathmandu,Tinthana,2762.29975,50000000,7,3,3+,North West,10
4,Kathmandu,Kirtipur,1197.875,23500000,10,4,3+,East,11
12,Lalitpur,Balkumari,1250,18000000,3,2,3+,East,12
3,Kathmandu,Baniyatar,1197.875,23750000,6,5,3+,North West,12
2.5,Kathmandu,Gothatar,1069.53125,24000000,6,3,3+,East,12
2.5,Kathmandu,Guheshwori Planning,1283.4375,28000000,8,4,3+,West,12
3.5,Lalitpur,Imadol,1411.78125,20000000,7,3,3+,West,12
2.5,Lalitpur,Imadol,1026.75,21500000,7,4,3+,South,12
2.5,Lalitpur,Imadol,1026.75,24200000,5,3,3+,East,12
3,Kathmandu,Kalanki,1347.609375,45000000,6,4,3+,North East,12
3.5,Kathmandu,Kalimati,2053.5,68000000,10,5,3+,South,12
2.5,Kathmandu,Kapan,1732.640625,30000000,7,5,3+,South East,12
2.5,Kathmandu,Pandhara Chowk,1403.225,24500000,4,4,3+,North,12
4,Kathmandu,Patitar,3101.640625,67500000,11,4,3+,North East,12
2.5,Kathmandu,Pepsicola,1454.5625,25500000,6,4,3+,West,12
1,Lalitpur,Sanagaun,1091.7775,16000000,2,1,3+,North,12
2.5,Lalitpur,Siddhipur Height,1026.75,22500000,5,4,3+,South West,12
2.5,Lalitpur,Sita Pakha,1026.75,25000000,4,4,3+,East,12
2.5,Kathmandu,Balkhu,2652.4375,45000000,4,3,3+,East,13
12,Lalitpur,Balkumari,1394,17500000,3,2,3+,South East,13
2.5,Lalitpur,Bhainsepati,1796.8125,50000000,5,6,3+,North East,13
1,Kathmandu,Bhangal,1540.125,17500000,2,1,3+,South,13
3.5,Kathmandu,"Bhotebahal,Teku",577.546875,36500000,8,3,3-,,13
2.5,Kathmandu,Birendra Chowk,1048.140625,24000000,6,3,3+,South West,13
2.5,Bhaktapur,Bode,1155.09375,18500000,3,3,3+,East,13
2.5,Bhaktapur,Bode,1369,28000000,6,3,3+,North West,13
4.5,Bhaktapur,Bode,2053.5,45500000,13,7,3+,North East,13
3.5,Kathmandu,Boharatar,5133.75,80000000,10,8,3+,North East,13
4,Kathmandu,Boudha,2738,100000000,6,4,3+,,13
2.5,Kathmandu,Budhanilkantha,1026.75,28000000,4,4,3+,South,13
3,Kathmandu,Budhanilkantha,1882.375,53000000,5,3,3+,North,13
2.5,Kathmandu,Budhanilkantha,1967.9375,49500000,5,5,3+,South,13
2.5,Kathmandu,Chabahil,1069.53125,23500000,5,3,3+,North East,13
4,Kathmandu,Chandragiri,1283.4375,21000000,9,5,3+,East,13
2.5,Bhaktapur,Chardobato,1540.125,31000000,5,4,3+,West,13
2.5,Bhaktapur,Dhadikot,3422.5,59500000,5,6,3+,East,13
2.5,Lalitpur,Dhapakhel,1197.875,22500000,5,3,3+,East,13
2.5,Lalitpur,Dhapakhel,1197.875,29000000,3,3,3+,South East,13
2.5,Lalitpur,Dhapakhel-23,1925.15625,35000000,7,3,3+,South,13
2.5,Lalitpur,Dholahiti Height,1796.8125,29900000,6,3,3+,East,13
3,Bhaktapur,Duwakot,855.625,13500000,5,4,3+,North,13
1.5,Kathmandu,Gokarneshwor Municipality- 2,2566.875,18000000,2,1,3+,East,13
2.5,Kathmandu,Golfutar,1689.859375,34000000,5,5,3+,South West,13
3.5,Kathmandu,Gothatar,624.307,15000000,5,3,3+,South,13
2.5,Kathmandu,Gothatar,1369,17000000,6,3,3+,North,13
2.5,Kathmandu,Gothatar,1369,17000000,6,3,3+,North,13
4.5,Lalitpur,"Gwarko, Velpa Bafal",1219.265625,32500000,7,4,3+,North West,13
2.5,Lalitpur,Imadol,1005.359375,22000000,5,3,3+,South East,13
2.5,Lalitpur,Imadol,1112.3125,22000000,4,3,3+,South,13
2.5,Lalitpur,Imadol,1026.75,25000000,4,4,3+,North,13
2.5,Lalitpur,Imadol,1197.875,25000000,7,5,3+,North East,13
3.5,Lalitpur,Imadol,1197.875,28500000,7,5,3+,East,13
2.5,Lalitpur,Imadol,1882.375,45000000,4,4,3+,South West,13
2.5,Lalitpur,Imadol,1099.9915,26000000,4,4,3+,North,13
2.5,Lalitpur,Imadol,1690.715,31500000,6,4,3+,,13
2.5,Lalitpur,Jhulpakha,1882.375,26000000,6,3,3+,North East,13
3,Kathmandu,Jorpati,1411.78125,27900000,6,3,3+,North,13
2.5,Kathmandu,Kadaghari,941.1875,17500000,4,3,3+,South,13
3,Kathmandu,Kadaghari,1283.4375,21500000,6,3,3+,East,13
2.5,Kathmandu,Kapan,1625.6875,31000000,5,4,3+,West,13
3,Kathmandu,Kapan,1540.125,33000000,6,3,3+,East,13
3.5,Lalitpur,Kharibot,1711.25,58000000,5,5,3+,,13
3.5,Lalitpur,Khumaltar,1326.21875,23000000,4,4,3+,North East,13
4.5,Kathmandu,Machhapokhari,2181.84375,52500000,20,21,3+,North East,13
2.5,Kathmandu,Makalbari,1069.53125,18000000,5,3,3+,East,13
3.5,Lalitpur,Nakkhu,1197.875,39000000,5,6,3+,East,13
3.5,Kathmandu,"Narayantar, Jorpati",1711.25,27500000,5,5,3+,East,13
3.5,Kathmandu,Naya Naikap,1454.5625,29000000,7,4,3+,South East,13
