City,Address,Land,Road,Price,Bedroom,Bathroom,Face,Floors
Bhaktapur,Duwakot,1060.975,10,750000000,4,1,South,1
Kathmandu,Maitidevi,11636.5,,391000000,1,1,East,1
Kathmandu,Dillibazar,1500,10,350000000,7,3,South East,3
Lalitpur,Kusunti,1625.68,20,310000000,4,4,South,2.5
Kathmandu,Golfutar,5476,20,269999999,6,4,South,2.5
Kathmandu,Dhumbarahi,17797,18,260000000,5,5,East,2.5
Kathmandu,Old Baneshwor,6502.75,20,200000000,8,5,West,3.5
Kathmandu,New Baneshwor,6160.5,32,160000000,4,3,South,2.5
Kathmandu,Koteshwor,5818.25,20,160000000,6,4,East,2.5
Kathmandu,Samakhusi,5476,20,160000000,5,3,West,5
Kathmandu,Dhapasi,10952,12,150000000,4,4,South,3
Kathmandu,Futung,1197.875,16,150000000,2,1,South East,1
Kathmandu,Basundhara,8214,20,140000000,8,3,North,3
Kathmandu,Banasthali,3088.5921,26,140000000,1,1,West,6
Lalitpur,Kupondol,1711.25,20,140000000,5,10,East,5
Kathmandu,Budhanilkantha,7187.25,20,135000000,6,5,East,2.5
Kathmandu,Hadigaon,3800,13,130000000,4,5,South,2.5
Kathmandu,Tinkune,4107,20,120000000,8,5,South,3.5
Kathmandu,Putalisadak,1219.26,20,120000000,10,6,West,5
Lalitpur,Dhobighat,6845,16,110000000,4,2,South East,2.5
Kathmandu,Bansbari,6845,13,110000000,6,5,East,2.5
Kathmandu,Rudreshwor,10952,25,105000000,5,5,North West,2.5
Kathmandu,Maharajgunj,3764.75,10,105000000,4,4,East,2.5
Kathmandu,Khusibu,2481.31,16,105000000,8,5,South,4
Kathmandu,Narayanthan,7187.25,16,100000000,5,5,South,3
Kathmandu,Narayanthan,7187.25,16,100000000,5,5,South,3
Kathmandu,Hattigauda,6845,12,100000000,6,4,East,2.5
Kathmandu,Hattigauda,6845,15,100000000,5,5,East,2.5
Kathmandu,Golfutar,6502.75,13,100000000,6,5,East,2.5
Kathmandu,Narayanthan,6160.5,16,100000000,6,5,South East,2.5
Kathmandu,Narayanthan,6160.5,16,100000000,5,5,East,2.5
Kathmandu,Basundhara,3422.5,22,100000000,5,5,East,2.5
Kathmandu,Bishalnagar,2738,16,100000000,5,3,South,2.5
Kathmandu,Khusibu,4107,12,96000000,3,3,South,2
Kathmandu,Anamnagar,3935.875,13,95500000,7,4,East,3
Kathmandu,Samakhusi,2000,20,92500000,12,5,East,5
Kathmandu,Samakhusi,2053.5,25,90000000,8,5,South West,6
Kathmandu,Sanobharyang,2909.12,16,85000000,7,5,West,4.5
Bhaktapur,Kausaltar,3762,20,80000000,8,5,North West,5
Kathmandu,Ason,748.67,20,80000000,1,4,South West,5
Kathmandu,Naxal,1604.29,15,78000000,8,5,East,4
Kathmandu,Sanepa,3080.25,13,77000000,6,4,East,2.5
Kathmandu,Budhanilkantha,3600,12,76000000,2,1,West,3
Kathmandu,Dhumbarahi,4107,10,75000000,5,5,East,2.5
Bhaktapur,Balkot,3422.5,13,75000000,6,5,East,3.5
Lalitpur,Sanepa,3080.25,20,75000000,5,2,South,2
Kathmandu,Narayanthan,4449.25,14,72000000,5,4,South East,2.5
Kathmandu,Narayanthan,4107,16,72000000,5,5,South East,2.5
