price,Location,Floor,Land Mark,Land Size (Aana/Dhur),Road Size,Bathroom,Bedroom,url
24000000,"swayambhu, Swoyambhu, Kathmandu",0,,3422.5,13.00,,,https://hamrobazaar.com/for-sale-house/house-on-sale-at-basundhara-code-no-2448-in-kathmandu/2b4fe9312e234cb48c9bff0095e5cb0c
14000000,"Buddha Chok, Gokarneshwar, काठमाडौं, Bagmati Pradesh, नेपाल",2,,855.625,12.00,3,3.00,https://hamrobazaar.com/for-sale-house/property-house-on-sale-at-gyaneshwor-in-kathmandu/5e4c24d1e3a3414cb42bdc2e8a049534
155000000,Kathmandu > Narayanthan (Budhanilkantha),2.5,Near deuwa niwas,1026.75,13.00,4,8.00,https://hamrobazaar.com/for-sale-house/brand-new-house-on-sale-at-pepsicola-in-kathmandu/fb9df24fd107400a98a499138bb942aa
26000000,Imadol,3,,1026.75,13.00,4,5.00,https://hamrobazaar.com/for-sale-house/beautiful-bungalow-on-sale-at-dadhikot-gamcha-in-bhaktapur/6709403650314695acd9c766155c93aa
82000000,Kathmandu > Budhanilkantha,,https://gharjaggabazar.com/sale/Budhanilkantha/7194/2/,1369,,,,https://hamrobazaar.com/for-sale-house/house-on-sale-at-budhanilkantha-gjbhos-3130-in-kathmandu/459e5292962d442693f176696d189ed1
60000000,Kathmandu > Basundhara,2.5,http://gharjaggabazar.com/sale/Basundhara/5605/2/,1711.25,12.00,2,5.00,https://hamrobazaar.com/for-sale-house/house-on-sale-naya-basti-imadol-in-lalitpur/2f2153396b5f4518b953d552d1a72338
85000000,Kathmandu > Kumarigal (Chabahil),3.5,"Panchamukhi Hanuman Mandir, Kharibot, Boudhadwar Marg",1711.25,12.00,.,14.00,https://hamrobazaar.com/for-sale-house/house-on-sale-at-shantinagarbaneshwor-in-kathmandu/82eac7ad3c084fd19a1dca0478576ae9
200000000,Kathmandu > Sukedhara,3,Sukedhara chok near,2224.625,13.00,4,4.00,https://hamrobazaar.com/for-sale-house/imadol-swimming-pool-nayabasti-in-nepal/2c35c0dc065342aebe0b55674019d3e7
25000000,Imadol,0,,2224.625,13.00,3,3.00,https://hamrobazaar.com/for-sale-house/house-for-sale-at-hapali-in-kathmandu/dbc56f7336ae48b0ace73d7d9fca8010
35000000,"Thapathali Marg, Thapathali",3,east face sun shining land,2224.625,12.00,,,https://hamrobazaar.com/for-sale-house/nayabazar-ma-4-aana-1-paisa-ma-babeko-ghar-bikrima-in-kathmandu/b0ccc07855f8443d988479db87b338d7
19000000,"Bakhundol, झम्सीखेल, सानेपा",3,parking,684.5,13.00,7,6.00,https://hamrobazaar.com/for-sale-house/house-on-sale-at-baluwatar-ktm-in-kathmandu/0c461a8623dd4243bb62a400d9ccc850
21000000,"Tukucha Marga, Kirtan Chok, बालुवटार",3,near alice party palace sama marga,684.5,13.00,4,3.00,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-samakhusi-kathmandu-in-kathmandu/64a8c3a108cb9a4f0f4b07137d0be361
23000000,"Dhapasi (Tokha), Kathmandu",3,,787.175,20.00,4,4.00,https://hamrobazaar.com/for-sale-house/newly-built-bungalow-on-sale-in-lalitpur-thaiba-in-nepal/85214206f8374dcc944d93361cb72af7
15500000,"Dhapakhel, Lalitpur",2.5,,855.625,13.00,3,5.00,https://hamrobazaar.com/for-sale-house/32ana-house-for-sale-at-budhanilkantha-bangal-in-kathmandu/a5631c77cbd44c7db0b9d06f234223f8
16000000,"sarki tol, Jhaukhel",2,Bhaktpur,900,13.00,5,4.00,https://hamrobazaar.com/for-sale-house/5-ana-bungalow-at-395-lakh-in-kathmandu/fb4aaf66b5f2414793198e7f881460a5
22000000,"Baluwapati Chowk, Jalpa Chowk, Tokha, Tokha Municipality, Kathmandu, Bagmati Pradesh, 44610, Nepal",2.5,,1026.75,12.00,3,8.00,https://hamrobazaar.com/for-sale-house/house-on-sale-at-dhapakhel-hight-in-lalitpur/b6cd233d6105444fa29248a816a78032
33500000,"Banasthali Party Palace, Ring Road, Kathmandu, Nepal",3.5,,1026.75,20.00,1,2.00,https://hamrobazaar.com/for-sale-house/house-on-sale-tokha-dhanesor-2-crore-20-lakh-in-kathmandu/6e7ea801560f47239917c9766826ad4a
20500000,"Dhapakhel Marg, Tutepani, Dhapakhel",3,,1026.75,13.00,,,https://hamrobazaar.com/for-sale-house/balwatar-82-aana-feild-92-on-paper-with-house-in-kathmandu/189c606d7ccb4106a6e884fdc52d2eba
19000000,"Bright Star Workers Higher Secondary School, Dwapwa Marg, Sangam Basti, Harisiddhi, Lalitpur Metropolitan City, Lalitpur",3,,1026.75,13.00,3,8.00,https://hamrobazaar.com/for-sale-house/a-cheap-house-on-sale-at-bouddha-jorpati-in-nepal/d93f4a582e6343a1838497657ec03f3c
37000000,"Chandol, Kathmandu",3,,1026.75,12.00,3,5.00,https://hamrobazaar.com/for-sale-house/banasthali-ko-ghar-bikrima-in-kathmandu/25a82e76d9db4a23bd68ddf003dae10f
