price,Location,Living Room,Used For,Floor,Bathroom,Bedroom,Land Mark,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url
23500000,"Jadibuti, Kathmandu, Bagmati Pradesh, 44810, Nepal",2,5 Years+,3,5,6,Near Manohora Pool Pepsicola,3.5,900,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/pepsicola-35-anna-3talla-ghar-2017-model-23500000-in-kathmandu/58f555c6604c423d82c6cbec1842790c
60000000,Kathmandu > Goldhunga (Tarkeshwar),1,10 years,3,3,4,"Bhairavsthan, Tarkeshwor, Lolang bus stop",11,,9 to 12 feet,https://hamrobazaar.com/for-sale-house/bungalow-house-for-sale-in-kathmandu/d0c95f5b23d446999e6d5e458167face
33000000,Imadol,2,,3,5,6,,320,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-ochu-height-new-millennium-school-in-nepal/9293e8b93ae84ff1ba66226b161e4d13
31700000,"vanasthali, Banasthali, Kathmandu",1,2071,3,3,4,4.5,4.5,3000,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-sale-banasthali-kharibot-in-kathmandu/7ec51bd3b77745309b7f2ce46dfca54f
140000000,"Koteshwor, Kathmandu",,,,,,,,,,https://hamrobazaar.com/for-sale-house/house-for-sale-25-floor-from-balaju-in-kathmandu/fae5070274c74428ad39138bb909ce0f
27000000,"सीतापाखा, Imadol",2,,2,5,5,,3,1169,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/bhandarimarga-lalitpur-ma-duita-ghar-bikri-ma-in-nepal/fb0c2dbd313f4049980a69ee853ad814
170000000,"Golfutar (Budhanilkantha), Kathmandu",1,,2.5,4,5,,29.5ana,2000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-hepaligolfutar-ktm-in-kathmandu/24e779cec7d94ce7b10fa0861ae63eb3
28500000,Imadol,2,,3,4,6,,312,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-bojeypokhari-highway-najeek-in-nepal/06c4a8e8d65649f7a3f4b47d4a59448d
250000000,dhobeghat sanaypa,2,17year,2.5,5,5,29.5,29.5,6227,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-sanaypa-dhobeghat-in-nepal/2c5f919766664661a821c01ca5d5fd4e
18500000,"kritipur kritipur, Kirtipur (Kritipur), Kathmandu",1,,4,4,6,,3.1,0,5 - 8 Ft.,https://hamrobazaar.com/for-sale-house/4storey-house-on-sale-at-kritipur-lalitpur-in-kathmandu/f41ea471141345bf82413299b56706d0
28500000,"Imadol-Hattiban Road, इमाडोल",2,no,3,4,5,imadol lubhu,3,2500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-imadol-in-nepal/4791a254d58447bdb8cf27a7982558b8
115000000,"नारायण गोपाल सडक, लाजिम्पाट",1,,3,5,5,lazimpat,10,3500,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/bungalow-for-sale-lazimpat-in-nepal/71113dfcf5ac406bb1e017812c453489
23000000,"Dhapakhel, Lalitpur",1,,2.5,3,5,,3 aana,700,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/brand-new-house-on-sell-dhapakhel-height-in-lalitpur/854a625046fe47d9897809198bd5c13c
36500000,"Ganga Hall, Ring Road, Balaju Machhapokhari, Kathmandu",,,,,,,0-5-0-0,,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/balaju-ma-5-aana-ma-baneko-flat-system-bikrima-in-kathmandu/6326137f557044eca09b8e5c90655b87
13490000,"कागेश्वरी मनोहरा नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,1,1,2,3,"Paanitanky, orchid pupil school najik",4,900,Less Than 5 Ft.,https://hamrobazaar.com/for-sale-house/urgent-home-on-sale-in-nepal/7e3cab6e4dc34c54a12af46186ea9c31
17500000,"बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,,2,3,3,,3,1500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/residental-house-on-sale-at-pasikot-budhanilkantha-in-nepal/b24967c8febe4341ab06d2bb21457c25
27500000,"Banasthali, Kathmandu",..,,2.5,..,..,,0-2-2-0,..,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/chamati-ma-sadhey-2-aana-ma-baneko-ghar-bikrima-in-kathmandu/71f0a957ce784c1f8663f129ae9a282c
18500000,"Lalitpur City, Lalitpur",2,,2.5,3,4,,4,1369,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-lalitpur-in-lalitpur/59a7da2f7917430a9200ee17854b9081
45000000,"Nakhipot, Lalitpur",1,,2.5,3,5,,7.5,2700sqf.,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-bishal-chok-nakhipoat-in-lalitpur/addb750f3063487182f587027ad7b7a6
31500000,"kritipur chovar, Chobhar (Kirtipur), Kathmandu",1,,2.5,4,5,,5.0124,204,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/new-year-offer-house-sale-kathmandu-in-kathmandu/a4298a7a09ec440a9c509b2531cac409
32000000,"Sallaghari, Bhaktapur",3,Your house,2.5,3,5,,4.3.2,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/sale-for-beautiful-house-in-bhaktapur/8d42dec7bb8c4f769a6111ee739fea65
7500000,"Butwal, Rupandehi",1,,2,2,3,,4,99999,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sales-in-rupandehi/462673b5d82b469f9c57588a99cbc448
160000000,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",Yes,,3,5-Apr,3,,17+ ana,0,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-17-ana-in-bhaisipati-in-lalitpur/58a1f65a696742009e49247182e79368
65000000,"Chundevi (Maharajgunj), Kathmandu",2,,12,3,6,,6,4500,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/61-aana-25-storey-house-on-sale-near-baluwatar-in-kathmandu/9975db0083dc4044b5a43c4b8eed8ef9
8000000,Morang (Biratnagar) > Janpath Tole,,,,,,,11Dh,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/biratnagar-ghar-bikrima-house-on-sale-biratnagar-in-morang/bbd6a18a824640be8110e143c7a42464
26500000,"Imadol (Mahalaxmi), Lalitpur",1,,2.5,1,1,,3.0.1,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/imadol-25-in-lalitpur/8ba6c771c6ae4ac09d92667da972364d
14200000,Matatirtha,1,,2,2,4,,33,4443,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/for-sale-house-in-nepal/6a259e99dd6447b794d6dfc363effb4d
9000000,"Budhanilkantha, Kathmandu",no,more,2.5,@,5,,3.05 AANA,105,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-sale-in-kathmandu/8020c1b1d4254bf6b984abc1f3d08e9e
8200000,इमाडोल,0,,2,2,5,,4,3500,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-imadol-in-nepal/a2e183155e1d46f2af5bfbd23e39096f
17500000,"Hattigaunda Bhangal Chapali Chunikhel Hepali Height Italitar Khadka Bhadrakali Narayanthan Mahankhal Pasikot Golfutar Budanilkantha, Budhanilkantha Area, Kathmandu",2,,3,4,8,,3.25,3000,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-chunikhel-in-kathmandu/97d093e292694c3eaddfb30038015cd9
11000000,Kathmandu > Kapurdhara (Samakhusi),1,48 month,4.5,3,4,Kapurdhara Samakhusi,1.5,47.7,13 to 20 feet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/501e47cb51764cb1b43697223f886dff
50000000,"Shramjit Kishor School, Sankhaghar Sakhwa Marga, Ward 17, Patan, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 44702, Nepal",2,,4,3,2,,1,a,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/ghar-bikrima-in-lalitpur/5f278454a71849faadfb654f76ddbf00
85000000,"Sanepa, Lalitpur",2,,2,3,5,,8 aana,3000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-sanepa-lalitpur-in-lalitpur/de22e1a94fd14c9c92a26364cedb0a47
27500000,"budanilkantha, Budhanilkantha, Kathmandu",0,,2.5,3,8,,5,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/flat-system-house-on-sale-budhanilkantha-in-kathmandu/d1bc14f8b366430daa8f203ea65cfe1b
