price,Location,Living Room,Floor,Bathroom,Bedroom,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url,Land Mark
35000000,"Makalbari (Jorpati), Kathmandu",1,1,1,2,8 Anna,800,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-makalbari-gokarneshwar4-in-kathmandu/85c253a493764e24a633f90a2a0704e6,
27500000,Kathmandu > Kalimati,3,3.5,8,14,4,,5 to 8 feet,https://hamrobazaar.com/for-sale-house/tankeshwor-house-on-sale-in-kathmandu/03c38dd059394a9baecc98caf8539806,Tankeshwor near paropakar pool
67500000,"Radha Mohan Marga, सिर्जना टोल, नया बानेश्वर",1,3,5,10,7,3000,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/semi-bungalow-sale-neyabanesor-in-nepal/ecd7c5a8add44921b2587b6ac935ede3,
17000000,Imadol,1,2,1,2,320,0,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/1-talla-ghar-imadol-bojeypokhari-in-nepal/a45d701138334535856a53ecd66695ae,
13000000,"LinkPlus Offshore Pvt Ltd, Thaiba, पाटन, Godawari, ललितपुर, Bagmati Pradesh, नेपाल",2,3,2,3,305,2000,5 - 8 Ft.,https://hamrobazaar.com/for-sale-house/home-on-sell-in-nepal/ed4c603eb8334a788ae567acde1e827c,3.5 aana
27000000,"Duwakot (Changunarayan), Bhaktapur",1,2.5,2,4,6.5,150,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-bhaktapur/511fe6587a194b9abcb2e87bbbe4d337,Dhuwakot
26000000,"Sir Raj Bahadur Road, Ananda Nagar, Sukedhara",2,2,4,6,3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/9ab963c9811d4ace9799da6e8b9d1705,
28100000,Lalitpur > Imadol (Mahalaxmi),2,3,3,7,4,2600,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-sale-in-lalitpur/348200c15857467b8cab5cf67ca26b9a,
35500000,"Imadol (Mahalaxmi), Lalitpur",3,.,4,5,4,.,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-seti-pakha-in-lalitpur/6192b907f60a48c39c3ceacdef4d2c3e,
150000000,"budanilkantha, Budhanilkantha, Kathmandu",2,2,5,5,22,5200,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-budhanilkhanta-in-kathmandu/bdab81e1b42048328287cfd930b66e21,
18000000,"Tahachal marg, Paropakar, Kalanki",3,4,4,12,4,3600,Less Than 5 Ft.,https://hamrobazaar.com/for-sale-house/tahachal-4-floor-house-in-5-ft-road-on-sale-in-nepal/8a8454a8d73443d3b6cf1b0bd926c77c,laxmi Bank Tahachal Branch
25000000,"Sunakothi, Lalitpur",1,3,2,3,3,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/3bhk-house-on-sale-at-civil-homes-in-lalitpur/7900b7d2c1f1437685f1e5bdc9637dd7,0
