price,Location,url,Floor,Bathroom,Bedroom,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,Land Mark
16000000,"Sainbu, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 13775, Nepal",https://hamrobazaar.com/for-sale-house/2-and-half-stories-house-with-5-shutters-shops-in-lalitpur/7c88aa2d36454f0cbaed6008dac922f2,,,,,,,
28500000,"Imadol (Mahalaxmi), Lalitpur",https://hamrobazaar.com/for-sale-house/bungalow-for-sale-at-imadole-in-lalitpur/c3b1ea5432234823b5ed980e653f800f,3,3,4,3,0,ThirteenToTwentyFeet,
37000000,"Nakhipot, Lalitpur",https://hamrobazaar.com/for-sale-house/house-for-sale-milanchok-living-baptist-church-in-lalitpur/6e8d331fc0db4d4d9d92b743dc4559f7,3,4,6,0-4-0-0,2450 Sq,ThirteenToTwentyFeet,Milanchok beside living baptist church nakhipot lalitpur
24000000,"Sundarnagar Marg, नारायण टोल, बसुन्धरा",https://hamrobazaar.com/for-sale-house/house-for-sale-basundhara-kathmandu-in-nepal/591008fb21854ad6adc72baf657dc700,3,5,10,3,1500,13 - 20 Ft.,
25000000,"Imadol (Mahalaxmi), Lalitpur",https://hamrobazaar.com/for-sale-house/house-on-sale-imadol-in-lalitpur/841893fb39bd43f6b0541b3e9b91fccd,2.5,1,1,0-3-1-0,1000,ThirteenToTwentyFeet,
23500000,"sanogaon sanogaun, Sanagau (Mahalaxmi), Lalitpur",https://hamrobazaar.com/for-sale-house/house-on-sale-sanogaun-in-lalitpur/87aa5b27a6214c039c4dfcbb55f0a545,3.5,4,7,0-3-0-0,1200,NineToTwelveFeet,
26000000,"सुन्दर टोल मार्ग, सानेपा",https://hamrobazaar.com/for-sale-house/house-for-sale-sanepa-in-nepal/11f42f2252814ac5a2f386a449eadcdc,2,3,5,3,2000,9 - 12 Ft.,
15000000,"Maulo Gade Pokhari, चन्द्रागिरी नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",https://hamrobazaar.com/for-sale-house/machchegaun-ko-ghar-bikrima-in-nepal/6c08a7fac985409f89e248abf821180c,2,3,3,4,900,13 - 20 Ft.,
37500000,"Dhumbarahi Kumaristhan, Sukedhara Area, Kathmandu",https://hamrobazaar.com/for-sale-house/house-for-sale-at-dhumbrahi-ktm-in-bara/1c76d1ce3b4441699852cf9eec4a094e,1,2,3,5ana,2500,ThirteenToTwentyFeet,
9.7E+13,"Kharipati (Changunarayan), Bhaktapur",https://hamrobazaar.com/for-sale-house/house-for-sale-at-kharipati-bhaktapur-in-bhaktapur/8dff39d204834a3eaf5b0e0dbbf2f3ef,1,1,2,3.5,735,ThirteenToTwentyFeet,
48000000,"Milijuli Tol, Chappal Karkhana, Kathmandu",https://hamrobazaar.com/for-sale-house/42-ana-house-for-sale-at-chakrapath-basbari-in-kathmandu/be7b88bf3b7f4c51be755bcb898c774a,2,5,5,4,143,13 - 20 Ft.,Car parking 3 attached
85000000,"suchatar, Syuchatar (Kalanki), Kathmandu",https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-syuchatar-kathmandu-in-kathmandu/eebea91a68464ae39359f3af45ab8e9d,3.5,4,7,4.1 Aana,N/A,ThirteenToTwentyFeet,150m outside ringroad
24000000,"Narayantar (Jorpati), Kathmandu",https://hamrobazaar.com/for-sale-house/house-on-sale-at-suncity-hill-jorpati-in-kathmandu/8e7385faa8024803985fca3b2aea1ff2,3,3,5,3.5,1197.875,ThirteenToTwentyFeet,
29000000,"Tikathali (Mahalaxmi), Lalitpur",https://hamrobazaar.com/for-sale-house/tikathali-pany-tanky-in-lalitpur/be823276d00440f199b5a711d138f6dc,3.5,O,O,3.2.1,O,ThirteenToTwentyFeet,Tikathali pany tanky
17000000,"Mulpani (Kageshwor), Kathmandu",https://hamrobazaar.com/for-sale-house/house-for-sale-in-mulpani-in-kathmandu/44c19c256a254c4cbe788f5b8ba1b03c,2.5,2,5,2.5,1,ThirteenToTwentyFeet,
35500000,"Ishan Children and Women's Hospital, Basundhara chowk, Kathmandu, Nepal",https://hamrobazaar.com/for-sale-house/bungalow-for-sale-at-basundhara-in-kathmandu/18f236eb19e24f6fb33a03df65e545cb,2.5,5,5,4A,,13 - 20 Ft.,
51000000,Kathmandu > Narayanthan (Budhanilkantha),https://hamrobazaar.com/for-sale-house/new-bunglow-300-mtr-away-park-village-on-61-aana-in-kathmandu/7899ac3b2dd54c17a3f26fe78a791164,,,,6.1,,9 to 12 feet,Few MTR away park village Cksrahulbig16-17cks
15000000,"Achham (Other Area), Achham",https://hamrobazaar.com/for-sale-house/residential-25-storey-on-sale-at-kageshwori-in-nepal/76f3de61783a4d1a922b47a40f3daed5,2.5,3,4,3,1000,13 - 20 Ft.,
32000000,"Khumaltar, Lalitpur",https://hamrobazaar.com/for-sale-house/35-storey-house-sale-in-dholahiti-khumaltar-in-lalitpur/d25cc60b2f8b4a2f88d79f8e9c2abb6a,3.5,4,8,4 Aana 2 Paisa,4.5,ThirteenToTwentyFeet,
75000000,"Childrens Eternal Academy, Balaju-Sourkhutte Sadak, Lut Chok, Nayabazar, Kathmandu",https://hamrobazaar.com/for-sale-house/nayabazar-khushibu-ma-5-aana-2-paisa-ma-baneko-ghr-in-kathmandu/df67b904114847b6a8b6112491599c81,6,4,5,5,5,13 - 20 Ft.,Good
