price,Location,Floor,Bathroom,Bedroom,Land Mark,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url
23500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,4,"Kamalpokhari, Imadol",3,1500,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-kamalpokhari-in-lalitpur/14b23bb9b2434aa5a18b292345582f6c
5500000,Kathmandu > Bansbari,2,,,Bansbari,12,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/bansbari-old-house-for-sale-in-kathmandu/e2225587e60b4b1d9e074e3418fef56d
37000000,"Bhimdhunga Boharatar Boratar Ichangu Narayan Raniban Ramkot Sitapaila Syuchatar, Nagarjun Area, Kathmandu",3,4,4,,4,2400,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-civil-home-sitapaila-kathmandu-in-kathmandu/7926193f6a974532976fb80f12f9f7bf
165000000,"Kumaripati Jagganath Marga, Kumaripati, Itapukhu",3,7,7,,22,4000,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sell-at-manbhawan-lalitpur-in-nepal/6c754ee6dfbb46e48ec5ded0e924e1fe
24000000,Imadol,3,3,4,,300,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-nayabasti-swimming-pool-in-nepal/dfc27666a26d4497b1cb9c93ff46ecc3
51500000,"Balaju, Kathmandu",4.5,15,17,ntc building,4.3,45000,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/balaju-commercial-building-recently-built-near-ntc-in-kathmandu/24e859bbd2a14c17841585104654f75a
61000000,"Chundevi (Maharajgunj), Kathmandu",2.5,5,5,,6ana,3000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-chundevi-maharajgunj-ktm-in-kathmandu/f470d11af9e34720ba4336e0cf88a3d4
36500000,"Sanchal (Sanepa), Lalitpur",2.5,5,5,,4.2,2500,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-sanepa-in-lalitpur/042519f7dd0e46c1b78ceae2a2acf67f
39900000,Food mart departmental stores,4 story,4,8,,4 Anna 1paisa,4710,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/9ba802fa63b54e5f83f0a242b87a244d
500000000,"Chun Devi Marga, टुसाल, चप्पल कारखाना",5,42,27,,18,12050,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-chakrapath-50-cr-in-nepal/451bcf1461c84321824a8d02628488f4
