price,Location,Floor,Bathroom,Bedroom,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url,Land Mark
"रू. 1,20,00,000",Matatirtha,1,1,2,3,700,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-sale-at-matatirtha-in-nepal/4ee7055056714bf1a6c5b02f4ce1f8c3,
"रू. 5,75,00,000",Kathmandu > Tokha,3,,,10,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/ten-aana-grandy-villa-backside-at-height-nice-one-for-sale-for-cash-in-kathmandu/c1d2dede2aad4b63a77285658ec7b968,350 Mtr frm Grandy villa housing. Back side of it at height
"रू. 2,80,00,000",Kathmandu > Chapali (Budhanilkantha),2.5,4,6,5,,Less than 5 feet,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-in-kathmandu/f08d962904ab4b4080e4d4ac329211df,
"रू. 3,70,00,000","Baudhadwar Marg, Kumarigal, Chabahil",3,3,10,275,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/new-house-on-sale-at-chabhil-ktm-in-nepal/ae72ee1be22744e88f00580ecbdcbc8f,
"रू. 3,50,00,000","Tangal Bhat Bhateni Baluwatar Naxal Lazimpat, Gairidhara Area, Kathmandu",3,3,6,0-4-0-0,1200,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-lazimpat-in-kathmandu/6be4605390b04a988337f333e2d57d2e,
"रू. 1,20,00,000","Satungal (Chandragiri), Kathmandu",3.5,2,8,2.65,2124.38,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/home-for-urgent-sale-in-kathmandu/c171bbb9056a48eebc2893ba47ba0f21,Satungal
"रू. 26,50,00,000","Tanahu Gorkha Guest House, Kathmandu Ringroad, Narayan Tole, Samakhushi, Kathmandu",5,6,0,9,3080,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/bl-complex-house-on-sale-contact-9851033883-in-kathmandu/2f5142cbe6e4402e94849fb7667988ec,
"रू. 16,50,00,000","Budhanilkantha School, Narayanthan - Baaghdwar Rd, Budhanilkantha, Nepal",2.5,3,8,5,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-on-peaceful-location-in-nepal/2305a9080be24484b71b79ce67fc0f79,
"रू. 3,35,00,000","Tikathali (Mahalaxmi), Lalitpur",2 and half,5,3,5 aana,2556,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-lalitpur/ea790012c37540a09c23540b89f374dd,
"रू. 2,15,00,000",Imadol,3,3,6,230,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-nayabasti-ekata-tole-in-nepal/a166e1b6862c4f67b2d90f2ec564c5f8,
"रू. 2,82,00,000",Karyabinayak,3,4,4,3.5,2375,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/housing-ma-ghar-karyabinayak-28200000-in-nepal/f94fb45175e44b1bb9f554eda0c28ecf,Karyabinyak Housing
"रू. 2,55,00,000",Imadol,3,4,5,3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-rajkulo-highway-najeek-in-nepal/3683c11cbc5b447a9a2f3d72b4534d44,
"रू. 3,60,00,000","Jyotinagar Pool, Baluwakhani Chok, Mandikhatar",3,5,6,4,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/8d18c106c3a148e6a5930dd56cf0f9bc,
"रू. 4,00,00,000",Thapathali,3,3,6,4,0,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/a518475ef3fe4f7c85c9730bae8cc746,Near rose bud school
"रू. 6,00,00,000","budanilkantha, Budhanilkantha, Kathmandu",3,5,3,6 aana,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-budhanilkantha-in-kathmandu/454dd30f80464892b279f5ef2d44ca77,
"रू. 3,60,00,000","Ramkot Syuchatar Nagarjun Raniban, Sitapaila Area, Kathmandu",2,2,6,4 aana 3 Paisa o.89 daam,0,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-sitapaila-in-kathmandu/cfe712e6ce7f454ebc8b08d2dc034d91,
"रू. 6,00,00,000","manmaiju, Manamaiju (Tarkeshwar), Kathmandu",3,4,4,9.75,3400,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/grand-bungalow-on-sale-at-manamaiju-in-kathmandu/8328cdfeacd94ffc8abe123a96900421,
"रू. 2,25,00,000","Bhuddha Marg, Siddhipur",3,3,4,3,2000,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/beautiful-house-on-sale-sanagau-in-nepal/dbe989ac30114d3e830e5453bb032475,sanagau
"रू. 8,50,00,000",Kathmandu > Baluwatar,2,5,5,7.1,,Above 20 feet,https://hamrobazaar.com/for-sale-house/702-ana-wid-bunglow-n-5-room-all-master-baluwata-in-kathmandu/3761885e4c934d459fae1c346156b479,200 MTR from pm office Ckskrishnasantfrenclevercks
"रू. 22,00,00,000","Chandol, Kathmandu",1.5,7,6,21Ann,3500,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-kathmandu/b9c67292aaca4f48b1153c29f33f92b8,
"रू. 3,25,00,000","Tokha, Kathmandu",2,3,3,4 aana,1400,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-tokha-grande-in-kathmandu/1ca5d9bd2e75472598b8561ff0337a11,
"रू. 5,90,00,000","Baluwatar ,",3,3,6,8.5aana,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-baluwatar-in-nepal/8e69d0ed366b4e5f8d1195185352512b,
"रू. 11,00,00,000","Sanepa Police Station, Lalitpur, Nepal",,,,9 aana,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/9-aana-house-on-sale-sanepa-heights-near-kissan-2-in-lalitpur/914a2f5d03e642b9a5b3b9bf1ffb82dd,
"रू. 1,69,00,000","DEL’AUTOS, 59490",2,2,4,3,1800,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-near-akshara-school-pepsicola-in-nepal/844d0f2516634409a89d84d51c7030bb,Near Akshara School
"रू. 2,40,00,000","Tikathali, महालक्ष्मी, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",3,4,4,3,1060,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/3-ana-build-up-brand-new-house-for-sale-tikathali-in-nepal/f6ae2b87621d4e7593f7c812a26df5a4,Pawan Pakriti school Height
