title,location,price,land size,Road,bedroom,bathroom,url,direction,parking size,built year
8 flats house for sale at Old Baneshwor,"Old Baneshwor, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44617, Nepal","Rs2,90,00,000",3.5 Aana,6 ft,22,8,https://nepalhomesearch.com/property/house-for-sale-at-old-baneshwor/,,,
Beautiful Old Villa on 23 aana Sale at Sitapaila,"Sitapaila, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44620, Nepal","Rs10,00,00,000",23 Anna,,5,4,https://nepalhomesearch.com/property/beautiful-old-villa-on-23-aana-sale-at-sitapaila/,West,10,
Semi-Bungalow House Sale in Mulpani,"Mulpani Pipalbot, Kageshwori Manohara, Kageshwori Manohara Municipality, Kathmandu, Bagmati Pradesh, 97701, Nepal","Rs2,30,00,000",3 Aana,13 ft,5,3,https://nepalhomesearch.com/property/semi-bungalow-house-sale-in-mulpani/,South-east,1,2022
Lale Lalitpur House Sale on 4 Ropani,"Dihgau, Lele, Godawari, Lalitpur, Bagmati Pradesh, 44709, Nepal","Rs7,30,00,000",4 Ropani,20 ft,4,3,https://nepalhomesearch.com/property/lale-lalitpur-house-sale/,South-east,10,2075
Thaiba Heights Housing,"Thaiba Heights Housing, Thaiba, Godawari, Lalitpur, Bagmati Pradesh, Nepal","Rs5,00,00,000",6 Aana,20 ft,4,3,https://nepalhomesearch.com/property/thaiba-heights-housing/,South,1,2021
Beautiful new house for sale at Nakhipot Lalitpur,"Nakhipot, Lalitpur, Bagmati Pradesh, 44702, Nepal","Rs2,00,00,000",2.5 Aana,13 ft,4,3,https://nepalhomesearch.com/property/beautiful-new-house-for-sale-at-nakhipot-lalitpur/,East,3,2022
Beautiful House for sale in Dholahiti Lalitpur,"Dholahiti, Lalitpur, Bagmati Pradesh, 44700, Nepal","Rs8,00,00,000",10 Aana,13 ft,4,3,https://nepalhomesearch.com/property/beautiful-house-for-sale-in-dholahiti-lalitpur/,North-east,4,2005
Beautiful house for sale in Hattiban Lalitpur,"Hattiban, Dhapakhel, Lalitpur, Bagmati Pradesh, 14364, Nepal","Rs2,30,00,000",4 Anna,27 ft,4,4,https://nepalhomesearch.com/property/beautiful-house-for-sale-in-hattiban-lalitpur/,North,1,2021
House for sale at Gahana Pokhari Kathmandu,"Gahana Pokhari, Kathmandu, Bagmati Pradesh, Nepal","Rs8,25,00,000",9.75 Aana,13 ft,4,4,https://nepalhomesearch.com/property/house-for-sale-at-gahana-pokhari-kathmandu/,South-east,3,
House for sale in Ishan Colony Budhanilkantha,"Ishan Colony, Budhanilkantha, Kathmandu, Bagmati Pradesh, Nepal","Rs5,75,00,000",9 Aaana,,4,3,https://nepalhomesearch.com/property/house-for-sale-in-ishan-colony-budhanilkantha/,,2,
Old House for sale in Panipokhari,"Panipokhari, Kathmandu, Bagmati Pradesh, 10378, Nepal",Call for price,10 Aana,13 ft,,,https://nepalhomesearch.com/property/house-for-sale-in-panipokhari/,South,,2055
Villa for sale in Chabahil Kathmandu,"Chabahil, Kathmandu, Bagmati Pradesh, 44660, Nepal","Rs12,00,00,000",12 Aana,16 ft,3,2,https://nepalhomesearch.com/property/villa-for-sale-in-chabahil-kathmandu/,North,3,2055
थानकोट मा घर बिक्रीमा,"Thankot, Chandragiri, Kathmandu, Bagmati Pradesh, 44619, Nepal","Rs2,20,00,000",5 Aana,10 ft,6,3,https://nepalhomesearch.com/property/%e0%a4%a5%e0%a4%be%e0%a4%a8%e0%a4%95%e0%a5%8b%e0%a4%9f-%e0%a4%ae%e0%a4%be-%e0%a4%98%e0%a4%b0-%e0%a4%ac%e0%a4%bf%e0%a4%95%e0%a5%8d%e0%a4%b0%e0%a5%80%e0%a4%ae%e0%a4%be/,West,1,
