title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking size,built year
Cottage built in 10 ropanis for sale in Lamatar Lalitpur,"Lamatar, Mahalaxmi, Lalitpur",250000000,10-4-0-0,,2,2,https://nepalhomesearch.com/property/cottage-for-sale-in-lamatar-llitpur/,,4,2005
Only one out of 108 houses for sale at Deep housing Pokhara,Deep Housing Pokhara,50000000,0-8-1-2 ,,4,4,https://nepalhomesearch.com/property/only-one-out-of-108-houses-for-sale-at-deep-housing-pokhara/,,2,2018
Previous Home On Sale close to Summit Lodge Kupandole,"Near Summit Hotel, Kupandole Lalitpur, Bagmati Pradesh, 44690, Nepal",67500000,0-7-2-0 ,13,6,4,https://nepalhomesearch.com/property/house-on-sale-near-summit-hotel/,North-east,3,
Modern house for sale in Civil Homes Tinthana,"Thirbam Sadak, Charkhal Dillibazar",35000000,0-6-2-3 ,,4,3,https://nepalhomesearch.com/property/modern-house-for-sale-on-5-75-annas-of-land-at-civil-homes/,,2,
House for sale on 5.5 aana at Khumaltar Lalitpur.,"Khumaltar, Lalitpur 44700, Nepal",34000000,0-5-3-0 ,13,5,3,https://nepalhomesearch.com/property/house-for-sale-in-khumaltar-lalitpur/,East,4,2019
"House for Sale at Vinayak Colony, Bhaisepati Lalitpur",Vinayak Colony Bhaisepati,55000000,0-5-2-2 ,12,5,5,https://nepalhomesearch.com/property/house-for-sale-at-vinayak-colony-bhaisepati/,,2,2018
Flat system house on sale at Milanchowk Baneshwor,"Milanchowk, New Baneshwor Kathmandu",50000000,0-4-3-3 ,,5,4,https://nepalhomesearch.com/property/flat-system-house-on-sale-at-milanchowk-baneshwor/,,2,2018
"House on sale at Padma Colony, Ramkot, Nagarjun Kathmandu!","Padma Colony, Ramkot, Nagarjun, Kathmandu",19500000,0-4-3-0 ,,3,3,https://nepalhomesearch.com/property/house-on-sale-at-padma-colony-ramkot-nagarjun-kathmandu/,,1,2000
House for sale at Mangal Colony near Vinayak Colony,"Vinayak Colony Rd, Karyabinayak Bhaisepati",30000000,0-4-1-1 ,,3,4,https://nepalhomesearch.com/property/mangal-colony-vinayak-colony/,,1,2018
"Booking open at Narayanthan Residency, Budhanilkantha","Narayanthan Residency, Budhaniklantha",32500000,0-4-1-0 ,,4,4,https://nepalhomesearch.com/property/booking-open-at-narayanthan-residency-budhanilkantha/,,2,
Ready to move 2 houses on sale at Shantinagar Kathmandu.,"Shantinagar, Kathmandu, Bagmati Pradesh, Nepal",49500000,0-4-1-0 ,24,6,4,https://nepalhomesearch.com/property/houses-on-sale-at-shantinagar/,North-east,1,2021
Furnished ready to move in house for sale at Bhaisepati Lalitpur,"Bhaisepati, Sainbu, Lalitpur, Bagmati Pradesh, 13775, Nepal",44000000,0-3-3-3 ,20,4,4,https://nepalhomesearch.com/property/furnished-ready-to-move-in-house-for-sale-at-bhaisepati-lalitpur/,North,1,2078
A beautiful house for sale at Down Town Housing Imadol Lalitpur,"Down Town Housing, Imadol, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44795, Nepal",45000000,0-3-2-3 ,20,4,4,https://nepalhomesearch.com/property/down-town-housing-imadol/,East,1,2077
House for sale at Reliable Colony Bhaisepati Lalitpur,Reliable Colony Bhaisepati,25000000,0-3-2-3 ,,6,4,https://nepalhomesearch.com/property/house-for-sale-at-reliable-colony/,,1,2008
1 story house for sale at Thankot,"Thankot, Chandragiri, Nepal",9500000,0-3-2-1 ,13,2,1,https://nepalhomesearch.com/property/1-story-house-for-sale-at-thankot/,East,1,2074
Cheap new attractive house for sale in Bhaktapur,"Sudal, Nepal",10500000,0-3-2-0 ,10,2,2,https://nepalhomesearch.com/property/house-for-sale-in-bhaktapur/,West,1,2075
Fully furnished home on sale Karyabinayak Homes Bhaisepati,"Karyabinayak Homes, Bhaisepati Lalitpur",27000000,0-3-2-0 ,,4,4,https://nepalhomesearch.com/property/karyabinayak-homes/,South-east,1,2020
Single story house for sale at Thali Kathmandu,"Thali, Kageshwari-Manohara, Kathmandu, Bagmati Pradesh, 46603, Nepal",11000000,0-3-1-2 ,10,2,1,https://nepalhomesearch.com/property/single-story-house-for-sale-at-thali-kathmandu/,South-east,1,2021
House for sale at Sano Bharyang Kathmandu.,Sanobharyang Kathmandu,23000000,0-3-1-1 ,,5,4,https://nepalhomesearch.com/property/house-for-sale-at-sanobharyang-kathmandu/,,1,2018
Single-family house for sale in Baluwatar Kathmandu,"Baluwatar, Kathmandu Metropolitan Ward 4, Kathmandu, Bagmati Pradesh, 44616, Nepal",40000000,0-3-1-0 ,,3,5,https://nepalhomesearch.com/property/house-for-sale-in-baluwatar-kathmandu/,East,1,2019
