Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
69000000.0,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",-2,4,0,1026.75,20.0,
35500000.0,"Imadol (Mahalaxmi), Lalitpur",.,4.0,5.0,1369,13.0,
38000000.0,"vasundhara, Basundhara, Kathmandu",.,3.0,5.0,1540.12,12.0,
55000000.0,"new baneshwor naya baneshwar, Shantinagar (New Baneshwor), Kathmandu",.,4.0,5.0,1540.125,20.0,
50000000.0,"New Baneshwor, Kathmandu",.,4.0,6.0,2053.5,12.0,
31500000.0,"Kuti Galli, माइजु बहल, चाबहिल",0,4,6,1369,13.0,chabahil
32500000.0,Imadol,0,4.0,5.0,1283.43,13.0,
38000000.0,"budanilkantha, Pasikot (Budhanilkantha), Kathmandu",0,0,6,1711.25,13.0,
32500000.0,Imadol,0,4,5,0,13.0,
19500000.0,"Hattiban, lalitpur",0,0,0,0,13.0,
80000000.0,"Nakhu Sainbu Nakhudole Nakkhu, Bhaisepati Area, Lalitpur",0,8.0,12.0,2738,20.0,
160000000.0,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",0,0,0,10952,13.0,
28500000.0,"Talim Kendra Marg, Sainbu",0,0,0,1026.75,13.0,
39900000.0,"Budhanilkantha, Kathmandu",0,4,6,0,12.0,budhanilkantha
26000000.0,"swoyambhu, Bijeshwori (Swayambhu), Kathmandu",0,4,4,1060.975,20.0,
29000000.0,"Gongabu (Tokha), Kathmandu",0,3.0,8.0,1026.75,12.0,
26000000.0,"All Core Lalitpur, Lalitpur",0,0,4,1026.75,13.0,
27500000.0,"Milijuli Tol, चप्पल कारखाना",0,3,4,0,13.0,bansbari
40000000.0,"Tokha Chandeshwari (Tokha), Kathmandu",0,5.0,6.0,1711.25,13.0,
24000000.0,"swayambhu, Swoyambhu, Kathmandu",0,,,3422.5,13.0,
37500000.0,Imadol,0,5,5,1369,13.0,
16500000.0,"Maulo Gade Pokhari, Chandragiri Municipality, Kathmandu, Bagmati Pradesh, 44618, Nepal",0,0,0,855.625,13.0,0
27500000.0,Imadol,0,4.0,5.0,1197.87,13.0,
32500000.0,Imadol,0,4,5,1369,13.0,
22500000.0,"Tikathali, Changathali, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",0,3,4,1026.75,13.0,
42500000.0,Imadol,0,4,5,1369,13.0,
45000000.0,"Tulku Nursery, F81, school ground, Shree Binayak Tole, Jalpa Chowk, टोखा नगरपालिका, Kathmandu",0,2.0,5.0,1711.25,12.0,
32500000.0,Imadol,0,5,5,0,13.0,
32500000.0,"Lalitpur City, Lalitpur",0,0,0,1779.7,13.0,
47500000.0,"Imadol (Mahalaxmi), Lalitpur",0,4,6,1779.7,13.0,
32500000.0,Imadol,0,5.0,6.0,1283.43,13.0,
25500000.0,"Tulku Nursery, school ground, Jalapachok, Tokha, काठमाडौं, Bagmati Pradesh, नेपाल",0,0,0,1026.75,12.0,
23500000.0,Imadol,0,4.0,4.0,1026.75,13.0,
13000000.0,"Ranibari (Samakhusi), Kathmandu",0,0.0,0.0,1369,5.0,0
25000000.0,Imadol,0,3.0,3.0,2224.625,13.0,
14000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",0,1.0,1.0,684.5,12.0,Gwarkhu Chowk
35000000.0,"Narayan Gopal Chowk, Basundhara",0,0,0,1369,13.0,
155000000.0,"Bansbari Sadak, नारायण गोपाल चोक, बसुन्धरा",0,0,0,6160.5,5.0,
35000000.0,"Sitapaila, Kathmandu",0,4 Attach,6,0,13.0,0
14000000.0,"kritipur, Dhalpa (Kirtipur), Kathmandu",0,0,0,1026.75,13.0,
430000000.0,"Bhagwan Bahal Cafe, Amrit Marg, Lut Chok, Thamel, Kathmandu",0,0,0,7871.75,13.0,
26500000.0,Imadol,0,5.0,8.0,941.18,13.0,
150000000.0,"vasundhara, Basundhara, Kathmandu",0,0,0,6502.75,13.0,
20000000.0,"Katunje (Suryabinayak), Bhaktapur",0,3,8,1026.75,20.0,suryabinyak
25000000.0,"vasundhara, Basundhara, Kathmandu",0,0.0,0.0,1026.75,13.0,0
17500000.0,"Bishnudol-Lubhu Road,",0,0,0,2053.5,13.0,
12000000.0,"vasundhara, Basundhara, Kathmandu",0,0,0,684.5,5.0,0
27500000.0,Imadol,0,4.0,4.0,1112.31,13.0,
24000000.0,Imadol,0,3,4,0,13.0,
49800000.0,"पन्ना हिटी, चाबहिल",0,5.0,11.0,2053.5,12.0,
32500000.0,"Kathmandu City, Kathmandu",0,4,2,1060.975,12.0,Rectangle
16000000.0,"Thapathali, Kathmandu",0,0,0,0,13.0,
21500000.0,"Imadol (Mahalaxmi), Lalitpur",0,3.0,4.0,941.18,13.0,
16500000.0,"F87, Kathmandu, Kageshwori Manohara, Kathmandu, Bagmati Pradesh, 00077, Nepal",1,1,2,1334.775,12.0,
80000000.0,"Machhapuchhre Marg, बराल चोक,",1,1.0,1.0,342.25,13.0,
10000000.0,"Godamchaur (Godawari), Lalitpur",1,2,3,1369,12.0,
36000000.0,"Makalbari Marg (Ka), मकलबारी, गोकर्णेश्वर",1,1,2,2738,13.0,
8000000.0,"Dhading District, Dhading",1,2,3,1775.42,12.0,
34500000.0,"Makalbari (Jorpati), Kathmandu",1,1,2,2738,13.0,
42000000.0,"Makalbari (Jorpati), Kathmandu",1,2,2,2738,12.0,
35000000.0,"Makalbari (Jorpati), Kathmandu",1,1,2,2738,13.0,
35000000.0,इमाडोल,1,1.0,1.0,1711.25,13.0,
16500000.0,"Tarakeshwar, Kathmandu",1,2,2,1026.75,13.0,K
22000000.0,"Gokarneshwor, Gokarneshwar, काठमाडौं, Bagmati Pradesh, नेपाल",1,1,1,1369,20.0,Muktinath Chok
15700000.0,"Dairy Private Limited, F24, NAST research centre, Khumaltar, Lalitpur",1,1,3,1711.25,8.0,
10000000.0,"Madi-Thori Road,",1,5,5,4107,20.0,
10000000.0,"Dhapasi (Tokha), Kathmandu",1,1,1,1026.75,5.0,100m
9500000.0,"Bisankhunarayan, Godawari, ललितपुर, Bagmati Pradesh, नेपाल",1,1.0,2.0,342.25,13.0,Bishankhu narayan temple
35000000.0,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",1,1.0,1.0,1711.25,13.0,
18500000.0,"Saraswati Nagar, Sukedhara",1,1,4,1219.26,8.0,
33000000.0,"Tallo Tusal Galli, किरण चोक, बालुवाटार",1,2,2,1369,20.0,
37500000.0,"dumbarahi, Dhumbarahi, Kathmandu",1,1,2,1711.25,13.0,0.5.0
16000000.0,"dumbarahi, Dhumbarahi, Kathmandu",1,1,1,1369,5.0,
17000000.0,"Aakashedhara, Mandikhatar",1,1,1,1026.75,13.0,kapan handballground
42000000.0,"Makalbari Marg (Ka), Makalbari, Gokarneshwor, Namgyal, Gokarneshwar Municipality, Kathmandu",1,1,2,2738,13.0,
26000000.0,"Dipnagar Marg, सेती ओपी, कोट देवी",1,2,3,1369,12.0,
6500000.0,"dumbarahi, Dhumbarahi, Kathmandu",1,3,4,4278.125,12.0,
12600000.0,"Makalbari Marg (Ka), Makalbari, Gokarneshwor",1,1,2,0,13.0,makalbari
58000000.0,"Dhumbarahi Area, Kathmandu",1,2,2,2738,12.0,"Toyota service center, S.R. Banquet"
35000000.0,"Satdobato, Lalitpur",1,1,1,1090.92,13.0,
12000000.0,Makwanpur (Hetauda) > Sanopokhara Chowk,1,1.0,3.0,,20.0,"Sanopokhara, Hetauda. Very Close to the main market area with very big road."
17000000.0,Dharampur,1,2,2,1369,13.0,
13500000.0,"Thali (Kageshwor), Kathmandu",1,1.0,2.0,1129.425,13.0,
16000000.0,"New Cosmetic and Gift Shop, बालुवापाटी चोक, जाल्पा चोक, बानियाँटार, टोखा नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,1,5,1026.75,13.0,
35000000.0,"Ekantakuna, Lalitpur",1,1,1,1711.25,13.0,
55000000.0,"Sanchal (Sanepa), Lalitpur",1,1.0,1.0,1882.37,13.0,
18000000.0,"Nayagaun, Kaski (Pokhara)",1,1,3,1540.125,8.0,
18000000.0,"Chunikhel (Budhanilkantha), Kathmandu",1,1,2,1026.75,13.0,
11500000.0,"Bangesal, Sarumarani, Pyuthan, Lumbini Province, Nepal",1,4,3,14580,20.0,
31000000.0,"Buddha Chok,",1,0,0,2738,20.0,
16000000.0,"budanilkantha, Pasikot (Budhanilkantha), Kathmandu",1,,,1095.2,8.0,
25000000.0,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",1,,,1711.25,13.0,
16000000.0,"Changathali (Mahalaxmi), Lalitpur",1,5.0,4.0,1369,13.0,
40000000.0,"suchatar, Syuchatar (Kalanki), Kathmandu",1,1,1,1754.03,13.0,
16500000.0,"Bhangal (Budhanilkantha) , bangal",1,1.0,2.0,1369,13.0,parking avaiable
16500000.0,"तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,1.0,6.0,1369,12.0,
13500000.0,"budanilkantha, Budhanilkantha, Kathmandu",1,1,2,1711.25,13.0,
26000000.0,"Koteshwor, Kathmandu",1,1.0,4.0,1369,12.0,
13500000.0,"budanilkantha, Budhanilkantha, Kathmandu",1,2,2,1711.25,13.0,
6000000.0,"Pokhara, कास्की, Gandaki Pradesh, नेपाल",1,2.0,3.0,1369,12.0,
9500000.0,"Bistachap (Godawari), Lalitpur",1,1,1,855.625,13.0,
9500000.0,"Bisankhunarayan, Godawari, ललितपुर, Bagmati Pradesh, नेपाल",1,1,2,1026.75,20.0,
6200000.0,"Birtamod — Bhadrapur, बिर्ताबजार",1,1,2,3080.25,13.0,
13490000.0,"कागेश्वरी मनोहरा नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,2.0,3.0,1369,5.0,"Paanitanky, orchid pupil school najik"
