Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face,lat,lng
35500000.0,"Imadol (Mahalaxmi), Lalitpur",3.0,4.0,5.0,1369.0,13.0,Lalitpur,West,27.66063,85.32136
31500000.0,"Kuti Galli, माइजु बहल, चाबहिल",3.0,4.0,6.0,1369.0,13.0,Kathmandu,West,27.69355,85.31594
32500000.0,Imadol,3.0,4.0,5.0,1283.43,13.0,Lalitpur,West,27.65836,85.34404
25000000.0,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",2.0,3.0,5.0,1711.25,13.0,Kathmandu,West,27.77198,85.35914
16000000.0,"Changathali (Mahalaxmi), Lalitpur",2.0,5.0,4.0,1369.0,13.0,Lalitpur,West,27.66063,85.32136
13500000.0,"budanilkantha, Budhanilkantha, Kathmandu",2.0,2.0,2.0,1711.25,13.0,Kathmandu,West,27.77198,85.35914
18000000.0,"bangal, Bhangal (Budhanilkantha), Kathmandu",2.0,3.0,5.0,1369.0,13.0,Kathmandu,West,27.79072,85.35983
58000000.0,"akashedhara, Akasedhara (Kapan), Kathmandu",2.0,3.0,4.0,684.5,13.0,Kathmandu,West,27.74123,85.34498
37500000.0,"Dhumbarahi Kumaristhan, Sukedhara Area, Kathmandu",2.0,2.0,3.0,1711.25,13.0,Kathmandu,West,27.71947,85.34648
22000000.0,"Kumaripati, Lalitpur",2.0,3.0,4.0,1197.875,13.0,Lalitpur,West,27.67064,85.32038
17500000.0,"Baluwakhani Chok, Golphutar, Budhanilkantha Municipality, Kathmandu, Bagmati Pradesh, 44622, Nepal",2.0,2.0,1.0,1095.2,13.0,Kathmandu,West,27.79072,85.35983
16500000.0,Kathmandu > Khadka Bhadrakali (Budhanilkantha),2.5,3.0,2.0,1711.25,13.0,Kathmandu,West,27.76409,85.35344
35000000.0,"Makalbari (Jorpati), Kathmandu",2.5,4.0,4.0,2053.5,13.0,Kathmandu,West,27.72344,85.38321
26500000.0,"Imadol (Mahalaxmi), Lalitpur",2.5,3.0,5.0,787.175,13.0,Lalitpur,West,27.66063,85.32136
11000000.0,"Kathmandu City, Kathmandu",2.5,2.0,3.0,1112.31,13.0,Kathmandu,West,27.69329,85.32227
25000000.0,"Godawari, Lalitpur",2.5,4.0,2.0,1754.03,13.0,Lalitpur,West,27.67049,85.32665
36000000.0,"Dhumbarahi Area, Kathmandu",2.5,3.0,3.0,1369.0,13.0,Kathmandu,West,27.72683,85.34386
67500000.0,"Bansbari Area, Kathmandu",2.5,2.0,6.0,2395.75,13.0,Kathmandu,West,27.74479,85.34153
50000000.0,"Bansbari Area, Kathmandu",2.5,3.0,4.0,1711.25,13.0,Kathmandu,West,27.74479,85.34153
40000000.0,"Shree Panchakanya Lower Secondary School, Gitanjali Marg, Laligurans Chok, Chappal Karkhana, Kathmandu",2.5,4.0,5.0,1369.0,13.0,Kathmandu,West,38.89037,-77.03196
