Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face,Longitude,Latitude
31500000,Aakasedhara,2.5,5.0,6,1711.25,12.0,Kathmandu,South West,null,null
16000000,Aakasedhara,2.5,2.0,6,1112.31,13.0,Kathmandu,West,null,null
38000000,Aakasedhara,2.5,2.0,4,2395.75,13.0,Kathmandu,West,null,null
21000000,Aakasedhara,3.0,4.0,9,1369.0,13.0,Kathmandu,West,null,null
25000000,Aakasedhara,3.0,4.0,6,1369.0,13.0,Kathmandu,West,null,null
27500000,Aakasedhara,3.0,3.0,5,1711.25,13.0,Kathmandu,West,null,null
27000000,Aakasedhara,3.0,3.0,3,2053.5,13.0,Kathmandu,West,null,null
19500000,Aakasedhara,2.5,5.0,7,1026.75,13.0,Kathmandu,West,null,null
58000000,Aakasedhara,2.0,3.0,4,684.5,13.0,Kathmandu,West,null,null
26000000,Aakasedhara,3.0,4.0,4,1060.975,13.0,Kathmandu,West,null,null
50000000,Aakashedhara,2.5,3.0,5,1711.25,13.0,Kathmandu,West,85.3551735,27.7353493
71500000,Aakashedhara,2.5,4.0,4,2738.0,13.0,Kathmandu,West,85.3551735,27.7353493
35000000,Aarubari,2.5,3.0,5,1369.0,12.0,Kathmandu,East,85.37832038290163,27.73436915
42500000,Anamnagar,3.5,5.0,6,1129.425,11.0,Kathmandu,South West,85.32842753971141,27.692839399999997
27500000,Aryal-Gaun,3.0,5.0,3,1369.0,13.0,Kathmandu,South,85.3352586,27.6864886
30000000,Attarkhel,3.0,3.0,8,1095.2,13.0,Kathmandu,East,85.3838229,27.7367691
15500000,Badegaun,3.0,3.0,6,1950.825,13.0,Lalitpur,West,85.35421535022515,27.61845525
30000000,Badeli,2.5,3.0,4,1711.25,13.0,Kathmandu,West,null,null
16900000,Badikhel,3.0,3.0,6,1369.0,13.0,Lalitpur,West,85.3504113,27.5911009
67000000,Bafal,3.0,4.0,4,2395.75,13.0,Kathmandu,West,85.2817551,27.7002299
22500000,Bafal,2.5,3.0,5,1197.875,13.0,Kathmandu,East,85.2817551,27.7002299
23000000,Bafal,2.0,2.0,6,1026.75,10.0,Kathmandu,South,85.2817551,27.7002299
23500000,Bafal,2.5,2.0,6,752.95,12.0,Kathmandu,North,85.2817551,27.7002299
24500000,Bafal,2.5,3.0,4,1026.75,12.0,Kathmandu,East,85.2817551,27.7002299
24500000,Bafal,2.5,3.0,7,1540.125,13.0,Kathmandu,North,85.2817551,27.7002299
27500000,Bafal,2.5,4.0,4,1437.45,13.0,Kathmandu,South,85.2817551,27.7002299
28500000,Bafal,2.0,3.0,5,1369.0,13.0,Kathmandu,South West,85.2817551,27.7002299
31000000,Bafal,3.0,3.0,7,1369.0,10.0,Kathmandu,South,85.2817551,27.7002299
31000000,Bafal,2.5,3.0,5,1129.425,15.0,Kathmandu,North East,85.2817551,27.7002299
31000000,Bafal,2.5,3.0,6,1369.0,16.0,Kathmandu,South West,85.2817551,27.7002299
36500000,Bafal,2.5,4.0,5,1369.0,12.0,Kathmandu,South,85.2817551,27.7002299
36500000,Bafal,3.0,4.0,5,1711.25,13.0,Kathmandu,South,85.2817551,27.7002299
37000000,Bafal,2.5,3.0,4,1095.2,13.0,Kathmandu,North East,85.2817551,27.7002299
37000000,Bafal,2.5,3.0,4,1095.2,14.0,Kathmandu,North East,85.2817551,27.7002299
37500000,Bafal,2.0,4.0,7,1369.0,13.0,Kathmandu,East,85.2817551,27.7002299
42000000,Bafal,2.5,3.0,4,1369.0,14.0,Kathmandu,South,85.2817551,27.7002299
47500000,Bafal,2.5,3.0,6,2395.75,14.0,Kathmandu,West,85.2817551,27.7002299
58000000,Bafal,2.5,5.0,6,2887.73,12.0,Kathmandu,East,85.2817551,27.7002299
60000000,Bafal,3.5,5.0,4,2840.675,13.0,Kathmandu,East,85.2817551,27.7002299
70000000,Bafal,2.5,4.0,3,3148.7,13.0,Kathmandu,East,85.2817551,27.7002299
41000000,Bafal,3.0,5.0,5,1219.26,13.0,Kathmandu,West,85.2817551,27.7002299
37000000,Bafal,3.0,3.0,4,1262.04,13.0,Kathmandu,West,85.2817551,27.7002299
45000000,Bafal,3.0,4.0,5,1711.25,13.0,Kathmandu,West,85.2817551,27.7002299
36500000,Bafal,3.0,4.0,5,1711.25,13.0,Kathmandu,West,85.2817551,27.7002299
37500000,Bafal,3.0,4.0,7,1369.0,13.0,Kathmandu,West,85.2817551,27.7002299
29500000,Bafal,3.0,3.0,6,1369.0,13.0,Kathmandu,West,85.2817551,27.7002299
32500000,Bagbazar,2.5,5.0,6,684.5,13.0,Kathmandu,West,85.3199628,27.7058134
29000000,Bagdol,2.5,4.0,4,1711.25,15.0,Lalitpur,South,85.303522,27.6696591
54000000,Bagdol,2.5,4.0,7,1813.925,20.0,Lalitpur,South East,85.303522,27.6696591
23000000,Bagdol,2.5,2.0,4,1026.75,13.0,Lalitpur,West,85.303522,27.6696591
35000000,Bagdol,3.0,4.0,5,1882.375,13.0,Lalitpur,West,85.303522,27.6696591
23500000,Bagdol,3.0,3.0,3,1026.75,13.0,Lalitpur,West,85.303522,27.6696591
60000000,Bagdol,2.5,2.0,3,2053.5,13.0,Lalitpur,West,85.303522,27.6696591
19500000,Bagdol,2.0,4.0,4,1262.046875,20.0,Lalitpur,West,85.303522,27.6696591
75000000,Balaju,2.5,3.0,5,2738.0,13.0,Kathmandu,West,85.3045555,27.7270105
37500000,Balaju,2.5,3.0,5,1197.87,13.0,Kathmandu,West,85.3045555,27.7270105
40000000,Balaju,3.0,4.0,7,1711.25,13.0,Kathmandu,West,85.3045555,27.7270105
17500000,Balaju,2.0,2.0,4,1711.25,12.0,Kathmandu,East,85.3045555,27.7270105
14200000,Balaju,2.0,2.0,5,1240.65625,13.0,Kathmandu,North West,85.3045555,27.7270105
25000000,Balaju,3.0,3.0,3,2053.5,14.0,Kathmandu,South,85.3045555,27.7270105
26000000,Balaju,2.5,3.0,4,1540.125,13.0,Kathmandu,East,85.3045555,27.7270105
26000000,Balaju,2.0,3.0,4,1796.8125,13.0,Kathmandu,East,85.3045555,27.7270105
38000000,Balaju,3.0,5.0,8,1369.0,13.0,Kathmandu,West,85.3045555,27.7270105
13500000,Balaju,3.0,2.0,4,855.625,13.0,Kathmandu,West,85.3045555,27.7270105
13500000,Balaju,3.0,2.0,4,855.625,13.0,Kathmandu,West,85.3045555,27.7270105
28500000,Balaju,3.0,3.0,6,1197.875,13.0,Kathmandu,West,85.3045555,27.7270105
11000000,Balambu,2.0,3.0,4,727.28,10.0,Kathmandu,East,85.24618777687618,27.6921353
14500000,Balambu,2.5,3.0,5,855.625,10.0,Kathmandu,South East,85.24618777687618,27.6921353
