Floors,City,Address,Land,Price,Bedroom,Bathroom,Face,Road
,Kathmandu,Pepsicola,200,500000,0,0,South East,0
12,Lalitpur,Jhamsikhel,683,40000,2,1,South,0
2.5, Kathmandu,Golfutar,1779.7,43000000,5,5,East,0
,Kathmandu,Budhanilkantha,1369,35000000,0,0,North East,0
,Kathmandu,Dhumbarahi,2481.3125,51700000,0,0,East,0
,Lalitpur,Bhaisepati,1796.8125,150000,4,4,East,0
,Kathmandu,Thamel,10952,1800000,43,20,East,0
,Kathmandu,Budhanilkantha,10952,150000000,0,0,South East,0
7,Kathmandu,Thamel,53.67,95000000,0,0,North West,0
,Bhaktapur,Nagarkot,2053.5,5550000,0,0,North East,0
,Kathmandu,Old Baneshwor,1500,6000000,0,0,South,0
,Kathmandu,Thali,1133.703125,15500000,0,0,South East,0
4,Kathmandu,Balkhu,1796.8125,60000000,0,0,South,0
,Kathmandu,Budhanilkantha,2738,45000000,0,0,West,0
,Lalitpur,Karyabinayak,1369,100000,4,4,East,0
3,Kathmandu,Thamel,1369,26000000,6,5,East,0
,Lalitpur,Bhaisepati,1711.25,60000,2,2,East,0
,Lalitpur,Jawalakhel,10952,75000,4,3,East,0
,Lalitpur,Jawalakhel,1711.25,55000,2,1,East,0
,Lalitpur,Bhaisepati,2139.0625,75000,3,3,East,0
, Kathmandu,Baluwatar,10952,6400000,,,,0
,Kathmandu,Baluwatar,1800,25000000,3,3,South East,0
,Lalitpur,Bhaisepati,1026.75,30000000,4,4,East,0
,Lalitpur,Bhaisepati,4791.5,25000,2,2,East,0
3,Kathmandu,Chabahil,1194.7929,31000000,8,4,West,0
,Kathmandu,Dhumbarahi,1454.5625,20000,2,1,West,0
,Kathmandu,Thankot,1197.875,25000000,0,0,East,0
,Kathmandu,Thankot,1369,22000000,0,0,East,0
,Kathmandu,Kalanki,3422.5,62000000,7,4,East,0
,Kathmandu,Thamel,1200,60000,2,1,South,0
,Lalitpur,Imadol,1200,1700000,0,0,South,0
4,Kathmandu,Chabahil,3080.25,57500000,0,0,East,0
,Lalitpur,Jawalakhel,1711.25,78000,4,4,East,0
,Kathmandu,Thamel,200,2500000,0,0,South East,0
,Kathmandu,Thali,1240.65625,11000000,0,0,East,0
,Kathmandu,Thali,1369,13000000,0,0,West,0
,Kathmandu,Gongabu,1711.25,27500000,0,0,East,0
,Kathmandu,Teku,1369,25000,0,0,East,0
,Kathmandu,Tarkeshwor,855.625,11500000,0,0,East,0
