Address,Area(In Sq.Feet),Road,Price(Float),Bedroom,Bathroom,Face,Floors,City
Sunar gaun,1711.25,2.0,27000000,13,3.5,North,5.0,Kathmandu
"Tarkeshwor-04, Sesmati",1647.07,3.0,12000000,1,1.0,West,1.0,Kathmandu
Thankot,1369.0,3.0,11000000,10,3.0,East,2.0,Kathmandu
Imadol,1796.8125,4.0,12000000,4,1.0,North East,1.5,Lalitpur
Kadaghari,855.625,4.0,7500000,3,1.0,North,1.0,Kathmandu
Imadol,1026.75,4.0,15000000,4,4.0,South,2.0,Lalitpur
Syuchatar,1711.25,4.0,25000000,5,4.0,South West,3.0,Kathmandu
Kalopool,1437.45,4.0,30000000,2,2.0,South,1.0,Kathmandu
Tinthana,3080.25,4.0,3000000,4,2.0,East,2.5,Kathmandu
New Buspark,2053.5,4.0,40000000,6,4.0,West,2.5,Kathmandu
Dadikot,1796.8125,4.0,15000000,2,2.0,West,2.0,Bhaktapur
Dhapasi,752.95,5.0,15500000,4,2.0,South,1.0,Kathmandu
Bhaisepati,1369.0,5.0,19000000,4,3.0,South,2.5,Lalitpur
Kumaripati,2053.5,5.0,45000000,7,4.0,South,3.5,Lalitpur
Banglamukhi,1112.31,5.0,14000000,3,2.0,West,5.0,Lalitpur
Basundhara,1026.75,5.0,30000000,6,3.0,South,3.0,Kathmandu
Ason,342.25,5.0,38000000,4,4.0,East,6.0,Kathmandu
Kadaghari,1026.75,5.0,17300000,1,1.0,South,2.5,Kathmandu
Chabahil,1779.7,5.0,21500000,5,2.0,South East,2.5,Kathmandu
Old Baneshwor,1095.2,6.0,28000000,22,8.0,East,6.0,Kathmandu
Koteshwor,1369.0,6.0,41500000,5,5.0,South,4.0,Kathmandu
Dhapasi,3162.39,6.0,58000000,5,5.0,North,3.5,Kathmandu
"Taukhel, Godawari",1540.125,6.0,30000000,5,5.0,East,2.5,Kathmandu
Kalanki,1200.0,6.0,19499988,3,3.0,West,2.5,Kathmandu
Doleswor,700.0,6.0,16000000,6,3.0,East,3.0,Bhaktapur
Chabahil,1369.0,6.0,20000000,6,2.0,East,2.5,Kathmandu
