title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking,built year,district,Municipality,vdc,builtyear,checkmun
House in phul bar marga naranthan | 9860728476,,3150000000,1369,13,3,5,https://www.gharghaderi.com/house/1714-House-in-phul-bar-marga-naranthan/,East,3-,,Kathmandu,Budhanilkantha,Naranthan,2071,Budhanilkantha
Fully furnished house on sale in smart city near engineering college | 9803563704,,750000000,1060.975,10,4,1,https://www.gharghaderi.com/house/2221-Fully-furnished-house-on-sale-in-smart-city-near-engineering-college/,South,3-,,Bhaktapur,Changunarayan,Duwakot,2076,Changunarayan
Elegant villa on sale at Kapan Kathmandu,Kapan,550000000,38332,12,4,6,https://nepalhomesearch.com/property/elegant-villa-on-sale-at-kapan-kathmandu/,,3+,,kathmandu,,,,
Ravi Bhawan Kathmandu,Ravi Bhawan ,430000000,24642,,10,7,https://nepalhomesearch.com/property/ravi-bhawan-kathmandu/,,3+,2055,kathmandu,,,,
3 unit house build in 34  AANA land is on sale at Maitidevi | 9861828129 sold,,391000000,11636.5,,1,1,https://www.gharghaderi.com/house/2042-3-unit-house-build-in-34- AANA-land-is-on-sale-at-Maitidevi/,East,3-,,Kathmandu,Kathmandu,Maitidevi,2076,Kathmandu
House For Sale | 9841746356,,350000000,1500,10,7,3,https://www.gharghaderi.com/house/1219-House-For-Sale/,South east,3-,,Kathmandu,Kathmandu,"Dillibazar, ghattakulo",2067,Kathmandu
Brand new house on sale at Kusunti | 9851155216 sold,,310000000,1625.68,20,4,4,https://www.gharghaderi.com/house/1780-Brand-new-house-on-sale-at-Kusunti/,South,3-,,Lalitpur,Mahalaxmi,Kusunti,2076,Mahalaxmi
Splendid Villa for sale in Kathmandu,"Chapali Bhadrakali, Budhanilkantha 44600",300000000,17797,,4,5,https://nepalhomesearch.com/property/villa-for-sale-in-kathmandu/,,3+,,kathmandu,,,,
Modern bungalow for sale in Golfutar Budhanilkantha | 9840872228,,269999999,5476,20,6,4,https://www.gharghaderi.com/house/942-Modern-bungalow-for-sale-in-Golfutar-Budhanilkantha/,South,3+,,Kathmandu,Budhanilkantha,Golfutar,2074,Budhanilkantha
Bungalow built on 52  AANA land on sale at Dhumbarahi | 9840872228,,260000000,17797,18,5,5,https://www.gharghaderi.com/house/1205-Bungalow-built-on-52- AANA-land-on-sale-at-Dhumbarahi/,East,3+,,Kathmandu,Kathmandu,Dhumbarahi,2067,Kathmandu
3 Ropani Villa in Dhapasi,"Dhapasi , 40607",250000000,16428,,6,6,https://nepalhomesearch.com/property/3-ropani-villa-in-dhapasi/,,,,kathmandu,,,,
Cottage built in 10 ropanis for sale in Lamatar Lalitpur,"Lamatar, Mahalaxmi",250000000,56129,,2,2,https://nepalhomesearch.com/property/cottage-for-sale-in-lamatar-llitpur/,,3+,2062,lalitpur,,,,
Bungalow for sale on 2 ropanis of land in Kupandol Ghusingal,Kupandole Ghushingal,210000000,10267.5,,7,7,https://nepalhomesearch.com/property/bungalow-for-sale-on-2-ropanis-of-land-in-kupandol-ghusingal/,,3+,2057,lalitpur,,,,
House at Baneshwor Height on salae | 9843620580,,200000000,6502.75,20,8,5,https://www.gharghaderi.com/house/2268-House-at-Baneshwor-Height-on-salae/,West,3+,,Kathmandu,Kathmandu,Old Baneshwor Height,2075,Kathmandu
