Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face
31500000,Aakasedhara,2.5,5,6,1711.25,12,Kathmandu,South West
16000000,Aakasedhara,2.5,2,6,1112.31,13,Kathmandu,West
38000000,Aakasedhara,2.5,2,4,2395.75,13,Kathmandu,West
21000000,Aakasedhara,3,4,9,1369,13,Kathmandu,West
25000000,Aakasedhara,3,4,6,1369,13,Kathmandu,West
27500000,Aakasedhara,3,3,5,1711.25,13,Kathmandu,West
27000000,Aakasedhara,3,3,3,2053.5,13,Kathmandu,West
19500000,Aakasedhara,2.5,5,7,1026.75,13,Kathmandu,West
26000000,Aakasedhara,3,4,4,1060.975,13,Kathmandu,West
50000000,other,2.5,3,5,1711.25,13,Kathmandu,West
71500000,other,2.5,4,4,2738,13,Kathmandu,West
35000000,other,2.5,3,5,1369,12,Kathmandu,East
42500000,other,3.5,5,6,1129.425,11,Kathmandu,South West
27500000,other,3,5,3,1369,13,Kathmandu,South
30000000,other,3,3,8,1095.2,13,Kathmandu,East
15500000,other,3,3,6,1950.825,13,Lalitpur,West
30000000,other,2.5,3,4,1711.25,13,Kathmandu,West
16900000,other,3,3,6,1369,13,Lalitpur,West
67000000,Bafal,3,4,4,2395.75,13,Kathmandu,West
22500000,Bafal,2.5,3,5,1197.875,13,Kathmandu,East
23000000,Bafal,2,2,6,1026.75,10,Kathmandu,South
24500000,Bafal,2.5,3,4,1026.75,12,Kathmandu,East
24500000,Bafal,2.5,3,7,1540.125,13,Kathmandu,North
27500000,Bafal,2.5,4,4,1437.45,13,Kathmandu,South
28500000,Bafal,2,3,5,1369,13,Kathmandu,South West
31000000,Bafal,3,3,7,1369,10,Kathmandu,South
31000000,Bafal,2.5,3,5,1129.425,15,Kathmandu,North East
31000000,Bafal,2.5,3,6,1369,16,Kathmandu,South West
36500000,Bafal,2.5,4,5,1369,12,Kathmandu,South
36500000,Bafal,3,4,5,1711.25,13,Kathmandu,South
37000000,Bafal,2.5,3,4,1095.2,13,Kathmandu,North East
37000000,Bafal,2.5,3,4,1095.2,14,Kathmandu,North East
37500000,Bafal,2,4,7,1369,13,Kathmandu,East
42000000,Bafal,2.5,3,4,1369,14,Kathmandu,South
47500000,Bafal,2.5,3,6,2395.75,14,Kathmandu,West
58000000,Bafal,2.5,5,6,2887.73,12,Kathmandu,East
60000000,Bafal,3.5,5,4,2840.675,13,Kathmandu,East
70000000,Bafal,2.5,4,3,3148.7,13,Kathmandu,East
41000000,Bafal,3,5,5,1219.26,13,Kathmandu,West
37000000,Bafal,3,3,4,1262.04,13,Kathmandu,West
45000000,Bafal,3,4,5,1711.25,13,Kathmandu,West
36500000,Bafal,3,4,5,1711.25,13,Kathmandu,West
37500000,Bafal,3,4,7,1369,13,Kathmandu,West
29500000,Bafal,3,3,6,1369,13,Kathmandu,West
29000000,Bagdol,2.5,4,4,1711.25,15,Lalitpur,South
54000000,Bagdol,2.5,4,7,1813.925,20,Lalitpur,South East
23000000,Bagdol,2.5,2,4,1026.75,13,Lalitpur,West
35000000,Bagdol,3,4,5,1882.375,13,Lalitpur,West
23500000,Bagdol,3,3,3,1026.75,13,Lalitpur,West
60000000,Bagdol,2.5,2,3,2053.5,13,Lalitpur,West
19500000,Bagdol,2,4,4,1262.046875,20,Lalitpur,West
75000000,Balaju,2.5,3,5,2738,13,Kathmandu,West
37500000,Balaju,2.5,3,5,1197.87,13,Kathmandu,West
40000000,Balaju,3,4,7,1711.25,13,Kathmandu,West
17500000,Balaju,2,2,4,1711.25,12,Kathmandu,East
14200000,Balaju,2,2,5,1240.65625,13,Kathmandu,North West
25000000,Balaju,3,3,3,2053.5,14,Kathmandu,South
26000000,Balaju,2.5,3,4,1540.125,13,Kathmandu,East
26000000,Balaju,2,3,4,1796.8125,13,Kathmandu,East
38000000,Balaju,3,5,8,1369,13,Kathmandu,West
28500000,Balaju,3,3,6,1197.875,13,Kathmandu,West
17000000,other,3,3,6,1026.75,16,Kathmandu,East
29000000,other,2.5,4,5,1369,13,Kathmandu,South East
36500000,Balkhu,3,3,6,1369,13,Kathmandu,West
29200000,Balkhu,3,4,4,1026.75,13,Kathmandu,West
22300000,Balkhu,2.5,3,3,1026.75,16,Kathmandu,North
22350000,Balkhu,2.5,3,3,1026.75,16,Kathmandu,North
23000000,Balkhu,3,2,3,1796.8125,20,Kathmandu,East
42500000,Balkhu,3,3,8,2053.5,12.5,Kathmandu,South West
45000000,Balkhu,2.5,3,4,2652.4375,16,Kathmandu,East
49500000,Balkhu,3,7,7,3080.25,10,Kathmandu,South
72000000,Balkhu,2.5,5,7,2738,20,Kathmandu,West
72500000,Balkhu,3,5,6,2738,20,Kathmandu,South
14500000,Balkot,2.5,3,5,1369,13,Bhaktapur,West
19000000,Balkot,3,4,3,1026.75,10,Bhaktapur,North
24000000,Balkot,2.5,3,6,1711.25,13,Bhaktapur,East
27500000,Balkot,2.5,4,4,1155.09375,13,Bhaktapur,West
28000000,Balkot,3,5,5,1129.425,13,Bhaktapur,West
29000000,Balkot,2,3,3,1796.8125,20,Bhaktapur,North
42500000,Balkot,3.5,4,4,2053.5,10,Bhaktapur,South
25000000,Balkot,3,4,5,1112.31,13,Bhaktapur,West
31500000,Balkot,3,4,5,1711.25,13,Bhaktapur,West
28000000,Balkot,3,5,5,1347.6,13,Bhaktapur,West
27000000,Balkot,3,4,5,1095.2,13,Bhaktapur,West
27000000,Balkot,3,2,4,1369,13,Bhaktapur,West
35000000,Balkot,3,5,7,1711.25,13,Bhaktapur,West
35000000,Balkot,3,4,6,2395.75,13,Bhaktapur,West
22500000,other,3.5,1,7,1026.75,13,Lalitpur,West
47000000,other,3,4,5,1471.675,13,Lalitpur,South
60000000,other,3.5,6,6,3080.25,13,Lalitpur,East
30000000,other,2.5,4,7,1582.9,13,Kathmandu,West
34000000,Baluwakhani,3,2,6,1129.425,13,Kathmandu,West
21500000,Baluwakhani,3,3,4,1026.75,12,Kathmandu,South East
27500000,Baluwakhani,2.5,4,6,1095.2,10,Kathmandu,West
34500000,Baluwakhani,2.5,5,7,1745.475,13,Kathmandu,East
26500000,Baluwakhani,2.5,4,4,1369,13,Kathmandu,West
28000000,Baluwakhani,3,3,5,1112.31,13,Kathmandu,West
24000000,Baluwakhani,3,3,5,1197.875,13,Kathmandu,West
28000000,Baluwakhani,2.5,5,9,1026.75,13,Kathmandu,West
39000000,Baluwakhani,3,5,6,1437.45,13,Kathmandu,West
39000000,Baluwakhani,3,5,6,1437.45,13,Kathmandu,West
37500000,Baluwakhani,3,5,6,1369,13,Kathmandu,West
39900000,Baluwakhani,2.5,3,5,1711.25,13,Kathmandu,West
27000000,Baluwakhani,2.5,3,3,1440,12,Kathmandu,East
30000000,Baluwatar,3,4,4,1369,13,Kathmandu,West
50000000,Baluwatar,3,4,4,1711.25,13,Kathmandu,West
57500000,Baluwatar,3,5,5,1711.25,13,Kathmandu,West
60000000,Baluwatar,3,3,5,1711.25,13,Kathmandu,West
55000000,Baluwatar,3,3,5,1711.25,13,Kathmandu,West
60000000,Baluwatar,3,3,5,2738,13,Kathmandu,West
65000000,Baluwatar,2.5,3,6,2806.45,13,Kathmandu,West
39000000,Baluwatar,2.5,3,7,1711.25,10,Kathmandu,North
39500000,Baluwatar,2,3,3,1882.375,15,Kathmandu,East
42500000,Baluwatar,3,6,6,2053.5,15,Kathmandu,South East
51500000,Baluwatar,3,3,6,2053.5,12,Kathmandu,North East
55000000,Baluwatar,2.5,3,4,2738,10,Kathmandu,South
55000000,Baluwatar,3,5,4,1796.8125,12,Kathmandu,South East
55000000,Baluwatar,2.5,5,4,1745.475,12,Kathmandu,South East
55000000,Baluwatar,2.5,5,6,1745.475,13,Kathmandu,North East
55000000,Baluwatar,2.5,4,4,1711.25,13,Kathmandu,South East
56000000,Baluwatar,3,4,4,2738,13,Kathmandu,North
60000000,Baluwatar,2.5,5,5,2053.5,13,Kathmandu,South
60000000,Baluwatar,3,5,5,2053.5,13,Kathmandu,North East
61000000,Baluwatar,3,6,5,2053.5,14,Kathmandu,North
65000000,Baluwatar,3,5,5,2224.625,20,Kathmandu,West
68000000,Baluwatar,2.5,3,6,2806.45,14,Kathmandu,East
71500000,Baluwatar,3.5,7,8,2053.5,12.5,Kathmandu,East
67500000,Baluwatar,2.5,4,7,2652.4375,13,Kathmandu,West
80000000,Baluwatar,2.5,3,3,3422.5,13,Kathmandu,West
80000000,Baluwatar,3,5,4,3422.5,13,Kathmandu,West
80000000,Baluwatar,3,5,4,3422.5,13,Kathmandu,West
75000000,Baluwatar,3,4,5,2139.06,13,Kathmandu,West
80000000,Baluwatar,3,3,5,2053.5,13,Kathmandu,West
55000000,Baluwatar,3,3,6,2909.125,13,Kathmandu,West
55000000,Baluwatar,2.5,3,6,2909.125,13,Kathmandu,West
65000000,Baluwatar,2.5,4,5,1711.25,13,Kathmandu,West
58500000,Baluwatar,2.5,5,4,1369,13,Kathmandu,West
20000000,Banasthali,2.5,2,5,1026.75,13,Kathmandu,West
31500000,Banasthali,3,4,5,1060.975,13,Kathmandu,West
22500000,Banasthali,2,3,4,1026.75,15,Kathmandu,East
26000000,Banasthali,2.5,3,5,1437.45,16,Kathmandu,South
27500000,Banasthali,2.5,5,5,1369,13,Kathmandu,South
29500000,Banasthali,2.5,3,4,1026.75,10,Kathmandu,East
31000000,Banasthali,2.5,4,4,1369,12,Kathmandu,South
34000000,Banasthali,3.5,5,6,1369,13,Kathmandu,East
34000000,Banasthali,3,4,6,1369,13,Kathmandu,East
39500000,Banasthali,3,6,5,1967.9375,20,Kathmandu,North
42000000,Banasthali,2.5,4,8,2806.45,12,Kathmandu,South
45000000,Banasthali,3,5,7,1497.34,13,Kathmandu,North
38000000,Baneshwor,2.5,3,6,1026.75,13,Kathmandu,West
38000000,Baneshwor,3.5,4,6,1026.75,20,Kathmandu,South West
38700000,Baneshwor,3,5,6,1369,15,Kathmandu,East
47500000,Baneshwor,2.5,4,5,2738,10,Kathmandu,West
