City,Address,Floor,Bathroom,Bedroom,Land,Road,Price,Face
Kathmandu,Aakasedhara,2.5,5,6,1711.25,12,31500000,South West
Kathmandu,Aakasedhara,2.5,2,6,1112.31,13,16000000,West
Kathmandu,Aakasedhara,2.5,2,4,2395.75,13,38000000,West
Kathmandu,Aakasedhara,3,4,9,1369,13,21000000,West
Kathmandu,Aakasedhara,3,4,6,1369,13,25000000,West
Kathmandu,Aakasedhara,3,3,5,1711.25,13,27500000,West
Kathmandu,Aakasedhara,3,3,3,2053.5,13,27000000,West
Kathmandu,Aakasedhara,2.5,5,7,1026.75,13,19500000,West
Kathmandu,Aakasedhara,2,3,4,684.5,13,58000000,West
Kathmandu,Aakasedhara,3,4,4,1060.975,13,26000000,West
Kathmandu,Aakashedhara,2.5,3,5,1711.25,13,50000000,West
Kathmandu,Aakashedhara,2.5,4,4,2738,13,71500000,West
Kathmandu,Aarubari,2.5,3,5,1369,12,35000000,East
Kathmandu,Anamnagar,3.5,5,6,1129.425,11,42500000,South West
Kathmandu,Aryal-Gaun,3,5,3,1369,13,27500000,South
Kathmandu,Attarkhel,3,3,8,1095.2,13,30000000,East
Lalitpur,Badegaun,3,3,6,1950.825,13,15500000,West
Kathmandu,Badeli,2.5,3,4,1711.25,13,30000000,West
Lalitpur,Badikhel,3,3,6,1369,13,16900000,West
Kathmandu,Bafal,3,4,4,2395.75,13,67000000,West
Kathmandu,Bafal,2.5,3,5,1197.875,13,22500000,East
Kathmandu,Bafal,2,2,6,1026.75,10,23000000,South
Kathmandu,Bafal,2.5,2,6,752.95,12,23500000,North
Kathmandu,Bafal,2.5,3,4,1026.75,12,24500000,East
Kathmandu,Bafal,2.5,3,7,1540.125,13,24500000,North
Kathmandu,Bafal,2.5,4,4,1437.45,13,27500000,South
Kathmandu,Bafal,2,3,5,1369,13,28500000,South West
Kathmandu,Bafal,3,3,7,1369,10,31000000,South
Kathmandu,Bafal,2.5,3,5,1129.425,15,31000000,North East
Kathmandu,Bafal,2.5,3,6,1369,16,31000000,South West
Kathmandu,Bafal,2.5,4,5,1369,12,36500000,South
Kathmandu,Bafal,3,4,5,1711.25,13,36500000,South
Kathmandu,Bafal,2.5,3,4,1095.2,13,37000000,North East
Kathmandu,Bafal,2.5,3,4,1095.2,14,37000000,North East
Kathmandu,Bafal,2,4,7,1369,13,37500000,East
Kathmandu,Bafal,2.5,3,4,1369,14,42000000,South
Kathmandu,Bafal,2.5,3,6,2395.75,14,47500000,West
Kathmandu,Bafal,2.5,5,6,2887.73,12,58000000,East
Kathmandu,Bafal,3.5,5,4,2840.675,13,60000000,East
Kathmandu,Bafal,2.5,4,3,3148.7,13,70000000,East
Kathmandu,Bafal,3,5,5,1219.26,13,41000000,West
Kathmandu,Bafal,3,3,4,1262.04,13,37000000,West
Kathmandu,Bafal,3,4,5,1711.25,13,45000000,West
Kathmandu,Bafal,3,4,5,1711.25,13,36500000,West
Kathmandu,Bafal,3,4,7,1369,13,37500000,West
Kathmandu,Bafal,3,3,6,1369,13,29500000,West
Kathmandu,Bagbazar,2.5,5,6,684.5,13,32500000,West
Lalitpur,Bagdol,2.5,4,4,1711.25,15,29000000,South
Lalitpur,Bagdol,2.5,4,7,1813.925,20,54000000,South East
Lalitpur,Bagdol,2.5,2,4,1026.75,13,23000000,West
Lalitpur,Bagdol,3,4,5,1882.375,13,35000000,West
Lalitpur,Bagdol,3,3,3,1026.75,13,23500000,West
Lalitpur,Bagdol,2.5,2,3,2053.5,13,60000000,West
Lalitpur,Bagdol,2,4,4,1262.046875,20,19500000,West
Kathmandu,Balaju,2.5,3,5,2738,13,75000000,West
Kathmandu,Balaju,2.5,3,5,1197.87,13,37500000,West
Kathmandu,Balaju,3,4,7,1711.25,13,40000000,West
Kathmandu,Balaju,2,2,4,1711.25,12,17500000,East
Kathmandu,Balaju,2,2,5,1240.65625,13,14200000,North West
Kathmandu,Balaju,3,3,3,2053.5,14,25000000,South
Kathmandu,Balaju,2.5,3,4,1540.125,13,26000000,East
Kathmandu,Balaju,2,3,4,1796.8125,13,26000000,East
Kathmandu,Balaju,3,5,8,1369,13,38000000,West
Kathmandu,Balaju,3,2,4,855.625,13,13500000,West
Kathmandu,Balaju,3,2,4,855.625,13,13500000,West
Kathmandu,Balaju,3,3,6,1197.875,13,28500000,West
Kathmandu,Balambu,2,3,4,727.28,10,11000000,East
Kathmandu,Balambu,2.5,3,5,855.625,10,14500000,South East
Kathmandu,Balambu,3,3,6,1026.75,16,17000000,East
Kathmandu,Balambu,2.5,4,5,1369,13,29000000,South East
Kathmandu,Balkhu,3,3,3,927.4975,13,21000000,West
Kathmandu,Balkhu,3,3,6,1369,13,36500000,West
Kathmandu,Balkhu,3,4,4,1026.75,13,29200000,West
Kathmandu,Balkhu,2.5,3,3,1026.75,16,22300000,North
Kathmandu,Balkhu,2.5,3,3,1026.75,16,22350000,North
Kathmandu,Balkhu,3,2,3,1796.8125,20,23000000,East
Lalitpur,Balkhu,2.5,3,3,787.175,20,24900000,North
Kathmandu,Balkhu,3,3,8,2053.5,12.5,42500000,South West
Kathmandu,Balkhu,2.5,3,4,2652.4375,16,45000000,East
Kathmandu,Balkhu,3,7,7,3080.25,10,49500000,South
Kathmandu,Balkhu,2.5,5,7,2738,20,72000000,West
Kathmandu,Balkhu,3,5,6,2738,20,72500000,South
Kathmandu,Balkhu,3,3,3,971.5538,13,24900000,West
Kathmandu,Balkhu,3,3,3,965.9924,13,26300000,West
Kathmandu,Balkhu,3,3,3,975.404,13,24800000,West
Bhaktapur,Balkot,2.5,3,5,1369,13,14500000,West
Bhaktapur,Balkot,3,4,3,1026.75,10,19000000,North
Bhaktapur,Balkot,2.5,3,6,1711.25,13,24000000,East
Bhaktapur,Balkot,2.5,4,4,1155.09375,13,27500000,West
Bhaktapur,Balkot,3,5,5,1129.425,13,28000000,West
Bhaktapur,Balkot,2,3,3,1796.8125,20,29000000,North
Bhaktapur,Balkot,3.5,4,4,2053.5,10,42500000,South
Bhaktapur,Balkot,3,4,5,1112.31,13,25000000,West
Bhaktapur,Balkot,3,4,5,1711.25,13,31500000,West
Bhaktapur,Balkot,3,5,5,1347.6,13,28000000,West
Bhaktapur,Balkot,3,4,5,1095.2,13,27000000,West
Bhaktapur,Balkot,3,2,4,1369,13,27000000,West
Bhaktapur,Balkot,3,5,7,1711.25,13,35000000,West
Bhaktapur,Balkot,3,4,6,2395.75,13,35000000,West
Lalitpur,Balkumari,3.5,1,7,1026.75,13,22500000,West
Lalitpur,Balkumari,3,4,5,1471.675,13,47000000,South
Lalitpur,Balkumari,3.5,6,6,3080.25,13,60000000,East
Kathmandu,Balkumari,2.5,4,7,1582.9,13,30000000,West
Kathmandu,Baluwakhani,3,2,6,1129.425,13,34000000,West
Kathmandu,Baluwakhani,3,3,4,1026.75,12,21500000,South East
Kathmandu,Baluwakhani,2.5,4,6,1095.2,10,27500000,West
Kathmandu,Baluwakhani,2.5,5,7,1745.475,13,34500000,East
Kathmandu,Baluwakhani,2.5,4,4,1369,13,26500000,West
Kathmandu,Baluwakhani,3,3,5,1112.31,13,28000000,West
Kathmandu,Baluwakhani,3,3,5,1197.875,13,24000000,West
Kathmandu,Baluwakhani,2.5,5,9,1026.75,13,28000000,West
Kathmandu,Baluwakhani,2,2,1,1095.2,13,17500000,West
Kathmandu,Baluwakhani,3,5,6,1437.45,13,39000000,West
Kathmandu,Baluwakhani,3,5,6,1437.45,13,39000000,West
Kathmandu,Baluwakhani,3,5,6,1369,13,37500000,West
Kathmandu,Baluwakhani,2.5,3,5,1711.25,13,39900000,West
Kathmandu,Baluwakhani,2.5,3,3,1440,12,27000000,East
Kathmandu,Baluwatar,3,4,4,1369,13,30000000,West
Kathmandu,Baluwatar,3,4,4,1711.25,13,50000000,West
Kathmandu,Baluwatar,3,5,5,1711.25,13,57500000,West
Kathmandu,Baluwatar,3,3,5,1711.25,13,60000000,West
Kathmandu,Baluwatar,3,3,5,1711.25,13,55000000,West
Kathmandu,Baluwatar,3,3,5,2738,13,60000000,West
Kathmandu,Baluwatar,2.5,3,6,2806.45,13,65000000,West
Kathmandu,Baluwatar,2.5,3,7,684.5,13,21000000,West
Kathmandu,Baluwatar,3,2,4,770.0625,15,23000000,East
Kathmandu,Baluwatar,2.5,3,7,1711.25,10,39000000,North
Kathmandu,Baluwatar,2,3,3,1882.375,15,39500000,East
Kathmandu,Baluwatar,3,6,6,2053.5,15,42500000,South East
Kathmandu,Baluwatar,3,3,6,2053.5,12,51500000,North East
Kathmandu,Baluwatar,2.5,3,4,2738,10,55000000,South
Kathmandu,Baluwatar,3,5,4,1796.8125,12,55000000,South East
Kathmandu,Baluwatar,2.5,5,4,1745.475,12,55000000,South East
Kathmandu,Baluwatar,2.5,5,6,1745.475,13,55000000,North East
Kathmandu,Baluwatar,2.5,4,4,1711.25,13,55000000,South East
Kathmandu,Baluwatar,3,4,4,2738,13,56000000,North
Kathmandu,Baluwatar,2.5,5,5,2053.5,13,60000000,South
Kathmandu,Baluwatar,3,5,5,2053.5,13,60000000,North East
Kathmandu,Baluwatar,3,6,5,2053.5,14,61000000,North
Kathmandu,Baluwatar,3,5,5,2224.625,20,65000000,West
Kathmandu,Baluwatar,2.5,3,6,2806.45,14,68000000,East
Kathmandu,Baluwatar,3.5,7,8,2053.5,12.5,71500000,East
Kathmandu,Baluwatar,2.5,4,7,2652.4375,13,67500000,West
Kathmandu,Baluwatar,2.5,3,3,3422.5,13,80000000,West
Kathmandu,Baluwatar,3,5,4,3422.5,13,80000000,West
Kathmandu,Baluwatar,3,5,4,3422.5,13,80000000,West
Kathmandu,Baluwatar,3,4,5,2139.06,13,75000000,West
Kathmandu,Baluwatar,3,3,5,2053.5,13,80000000,West
Kathmandu,Baluwatar,3,3,6,2909.125,13,55000000,West
Kathmandu,Baluwatar,2.5,3,6,2909.125,13,55000000,West
Kathmandu,Baluwatar,2.5,4,5,1711.25,13,65000000,West
Kathmandu,Baluwatar,2.5,5,4,1369,13,58500000,West
Kathmandu,Banasthali,2.5,2,5,1026.75,13,20000000,West
Kathmandu,Banasthali,3,4,5,1060.975,13,31500000,West
Kathmandu,Banasthali,2.5,3,3,855.625,13,23500000,West
Kathmandu,Banasthali,2,3,4,1026.75,15,22500000,East
Kathmandu,Banasthali,2.5,3,5,1437.45,16,26000000,South
Kathmandu,Banasthali,2.5,5,5,1369,13,27500000,South
Kathmandu,Banasthali,2.5,3,4,1026.75,10,29500000,East
Kathmandu,Banasthali,2.5,4,4,1369,12,31000000,South
Kathmandu,Banasthali,3.5,5,6,1369,13,34000000,East
Kathmandu,Banasthali,3,4,6,1369,13,34000000,East
Kathmandu,Banasthali,3.5,4,6,787.175,15,35000000,South West
Kathmandu,Banasthali,3,6,5,1967.9375,20,39500000,North
Kathmandu,Banasthali,2.5,4,8,2806.45,12,42000000,South
Kathmandu,Banasthali,3,5,7,1497.34,13,45000000,North
Kathmandu,Baneshwor,2.5,3,6,1026.75,13,38000000,West
Kathmandu,Baneshwor,3.5,4,6,1026.75,20,38000000,South West
Kathmandu,Baneshwor,3,5,6,1369,15,38700000,East
Kathmandu,Baneshwor,2.5,4,5,2738,10,47500000,West
Kathmandu,Baneshwor,2.5,4,8,2464.2,20,63500000,North East
Kathmandu,Baniyatar,3,3,6,1112.3125,10,16500000,South
Kathmandu,Baniyatar,2.5,3,4,983.96875,14,19000000,North
Kathmandu,Baniyatar,3,3,8,1369,16,22000000,North West
Kathmandu,Baniyatar,3,5,7,1129.425,13,23500000,East
Kathmandu,Baniyatar,2.5,4,5,1411.78,14,23500000,South
Kathmandu,Baniyatar,3,5,6,1197.875,12,23750000,North West
Kathmandu,Baniyatar,3,6,6,1454.5625,15,24000000,North East
Kathmandu,Baniyatar,3,5,7,1711.25,11,25000000,South
Kathmandu,Baniyatar,2.5,3,7,1129.425,13,27000000,South West
Kathmandu,Baniyatar,3.5,3,6,1711.25,10,28500000,South East
Kathmandu,Baniyatar,3,5,6,1369,20,29000000,East
Kathmandu,Baniyatar,3,5,8,1540.125,20,35000000,East
Kathmandu,Baniyatar,2.5,3,6,1197.875,13,19300000,West
Kathmandu,Baniyatar,3,3,4,1026.75,13,17500000,West
Kathmandu,Baniyatar,2.5,3,5,855.625,13,28000000,West
Kathmandu,Baniyatar,2.5,3,7,1197.875,13,28000000,West
Kathmandu,Baniyatar,2.5,4,5,1060.975,13,25000000,West
Kathmandu,Bansbari,2.5,4,6,1390.39,10,29000000,West
Kathmandu,Bansbari,3,5,6,2053.5,10,36000000,South East
Kathmandu,Bansbari,3,6,6,2053.5,10,36000000,South East
Kathmandu,Bansbari,2.5,5,6,2738,16,45000000,West
Kathmandu,Bansbari,3,5,6,2738,16,45000000,North West
Kathmandu,Bansbari,2,4,6,2738,20,45000000,East
Kathmandu,Bansbari,2,5,4,2738,16,47500000,East
Kathmandu,Bansbari,2.5,4,4,2395.75,13,50000000,South
Kathmandu,Bansbari,2.5,5,5,1437.45,12,51000000,South
Kathmandu,Bansbari,2.5,5,4,1471.675,12,52000000,South
Kathmandu,Bansbari,2.5,3,6,2464.2,20,52000000,West
Kathmandu,Bansbari,2.5,5,6,2121.95,13,55000000,South East
Kathmandu,Bansbari,2,3,4,3148.7,13,62500000,South
Kathmandu,Bansbari,2.5,2,6,2395.75,13,67500000,West
Kathmandu,Bansbari,2.5,3,4,1711.25,13,50000000,West
Kathmandu,Bansbari,2.5,5,5,2053.5,13,52500000,West
Kathmandu,Bansbari,2.5,4,5,1711.25,13,47500000,West
Kathmandu,Bansbari,3,4,2,1711.25,13,28000000,South
Kathmandu,Basantapur,2.5,5,9,449.2,13,34000000,West
Kathmandu,Basundhara,3,3,8,1882.375,13,32500000,West
Kathmandu,Basundhara,3,4,5,2395.75,13,55000000,West
Kathmandu,Basundhara,3,5,6,1540.125,13,42000000,West
Kathmandu,Basundhara,3,3,6,1197.875,13,21500000,West
Kathmandu,Basundhara,3,2,5,1369,13,20000000,West
Kathmandu,Basundhara,3,4,6,1369,13,31000000,West
Kathmandu,Basundhara,3,3,5,1437.45,13,37500000,West
Kathmandu,Basundhara,3,5,6,1540.125,13,42000000,West
Kathmandu,Basundhara,3,5,7,3080.25,13,65000000,West
Kathmandu,Basundhara,2.5,5,5,1745.475,13,42000000,West
Kathmandu,Basundhara,3,5,6,2053.5,13,45000000,West
Kathmandu,Basundhara,3,3,6,1711.25,13,43500000,West
