Address,Count
Imadol,399
Budhanilkantha,224
Bhaisepati,120
Sitapaila,69
Tikathali,63
Hattigauda,61
Tokha,57
Talchhikhel,56
Bhangal,52
Kapan,52
Pasikot,51
Dhapasi,49
Basundhara,48
Golfutar,42
Hattiban,42
Nakkhu,41
Sukedhara,35
Baluwatar,35
Mandhikatar,34
Dhapakhel,33
Samakhusi,31
Nakhipot,29
Bafal,27
Syuchatar,25
Sitapakha,24
Narayanthan,23
Pepsicola,23
Khumaltar,22
Dhumbarahi,21
Sanagau,21
Sainbu,21
Jorpati,20
Sanepa,20
Thaiba,19
Kusunti,19
Gothatar,18
Nagarjun,18
Bansbari,18
Sunakothi,17
Chandragiri,17
Baniyatar,17
Mulpani,17
Kalanki,16
Harisiddhi,16
Balkhu,15
Chapali,15
Gwarko,15
Maharajgunj,14
Baluwakhani,14
Sanobharyang,14
Ramkot,14
Balkot,14
Banasthali,14
Kirtipur,14
Lubhu,14
Chabahil,13
Rudreshwor,13
Hepali,13
Gongabu,13
Balaju,12
Bhaktapur,12
Thulo Bharyang,12
Aakasedhara,12
Satdobato,12
Satungal,12
Boudha,11
Chappal Karkhana,11
Swayambhu,10
Makalbari,10
Deuba Chowk,10
Kadaghari,10
Manamaiju,10
Naikap,10
Goldhunga,10
Sipadol,9
Naya Basti,9
Thankot,9
Kageshwori Manohara,9
Narayantar,9
Raniban,8
Koteshwor,8
Naxal,8
Ganesh Chowk,8
Siddhipur,8
Chandol,7
Khadka Tole,7
Lamatar,7
Chunikhel,7
Battisputali,7
Godawari,7
Bagdol,7
Naya Bazar,6
Naya Naikap,6
Gurjudhara,6
Thapathali,6
Sundarbasti,6
Ochu Height,6
Changunarayan,6
Dallu,6
Old Baneshwor,6
